Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,297041.0000,0.7581,300016
GA-TS,307314.7500,0.7581,300013
GA-TS,303268.5000,0.7581,300010
GA-TS,300942.0000,0.7581,300007
GA-TS,297749.0000,0.8423,300007
GA-TS,300706.0000,0.7581,300014
GA-TS,302023.5000,0.7581,300018
GA-TS,309785.0000,0.8423,300007
GA-TS,295176.0000,0.7581,300006
GA-TS,295826.2500,0.7581,300007
GA-GA,281169.7500,0.8423,382858
GA-GA,283971.0000,0.8423,338326
GA-GA,280521.0000,0.8423,441602
GA-GA,280547.2500,0.8423,461453
GA-GA,281701.0000,0.8423,460327
GA-GA,282645.0000,0.8423,391807
GA-GA,282645.0000,0.8423,356864
GA-GA,284904.7500,0.8423,339317
GA-GA,284282.2500,0.8423,374323
GA-GA,282645.0000,0.8423,408210
GA-ACO,315123.7500,0.7581,507592
GA-ACO,308022.0000,0.7581,440988
GA-ACO,302957.2500,0.7581,505077
GA-ACO,308258.0000,0.7581,480887
GA-ACO,306692.2500,0.7581,659747
GA-ACO,310738.5000,0.7581,442283
GA-ACO,313686.0000,0.7581,519832
GA-ACO,314394.0000,0.6892,535139
GA-ACO,318547.5000,0.6892,569094
GA-ACO,309493.5000,0.7581,553840
ALNS,251493.0000,0.0000,300029
ALNS,256213.0000,0.0000,300036
ALNS,257629.0000,0.0000,300048
ALNS,248897.0000,0.0000,300007
ALNS,255644.4000,0.0000,300016
ALNS,250405.8000,0.0000,300005
ALNS,253617.0000,0.0000,300007
ALNS,251729.0000,0.0000,300004
ALNS,254325.0000,0.0000,300017
ALNS,254797.0000,0.0000,300011
