Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,300983.2000,295176.0000,309785.0000,4585.4363,0.7749,300010.50
GA-GA,282503.2000,280521.0000,284904.7500,1460.2634,0.8423,395508.70
GA-ACO,310791.2750,302957.2500,318547.5000,4407.2185,0.7443,521447.90
ALNS,253475.0200,248897.0000,257629.0000,2632.5637,0.0000,300018.00
