Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,158008.5000,152831.0000,163215.0000,3207.4183,0.7709,300010.10
GA-GA,148907.7500,144571.0000,151323.0000,1920.5432,0.7709,328755.70
GA-ACO,160591.1250,154435.5000,170059.0000,4357.6475,0.7709,361460.10
ALNS,144139.3500,143853.0000,145098.0000,354.1144,0.0000,300001.80
