Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,159439.0000,0.7709,300020
GA-TS,158793.0000,0.7709,300013
GA-TS,163215.0000,0.7709,300015
GA-TS,162743.0000,0.7709,300013
GA-TS,158481.7500,0.7709,300013
GA-TS,154435.5000,0.7709,300004
GA-TS,158481.7500,0.7709,300013
GA-TS,152831.0000,0.7709,300002
GA-TS,155058.0000,0.7709,300003
GA-TS,156607.0000,0.7709,300005
GA-GA,151323.0000,0.7709,324017
GA-GA,149527.0000,0.7709,336687
GA-GA,150078.0000,0.7709,322492
GA-GA,146459.0000,0.7709,327069
GA-GA,150471.0000,0.7709,320761
GA-GA,148521.7500,0.7709,338256
GA-GA,148521.7500,0.7709,314369
GA-GA,149527.0000,0.7709,342614
GA-GA,144571.0000,0.7709,336991
GA-GA,150078.0000,0.7709,324301
GA-ACO,163451.0000,0.7709,372193
GA-ACO,162271.0000,0.7709,368405
GA-ACO,158481.7500,0.7709,379929
GA-ACO,154483.0000,0.7709,355600
GA-ACO,170059.0000,0.7709,350417
GA-ACO,159415.5000,0.7709,354809
GA-ACO,163215.0000,0.7709,370744
GA-ACO,160660.5000,0.7709,342768
GA-ACO,159439.0000,0.7709,358082
GA-ACO,154435.5000,0.7709,361654
ALNS,143853.0000,0.0000,300002
ALNS,143853.0000,0.0000,300000
ALNS,143853.0000,0.0000,300000
ALNS,144176.7000,0.0000,300000
ALNS,143853.0000,0.0000,300005
ALNS,144176.7000,0.0000,300001
ALNS,145098.0000,0.0000,300005
ALNS,144176.7000,0.0000,300001
ALNS,144176.7000,0.0000,300003
ALNS,144176.7000,0.0000,300001
