算例,算法,平均Cmax,最优Cmax,最差Cmax,标准差,平均利用率,平均时间(ms)
3M60J-03,GA-ACO,588199.6800,452436.8000,669619.2000,76950.3546,0.7528,843387.20
3M60J-03,ALNS,294682.3900,290868.3000,296816.8000,1495.0546,0.0000,300179.90
3M60J-04,GA-TS,384436.2550,375128.8000,390469.5000,4858.4374,0.8023,300057.40
3M60J-04,GA-GA,471626.7500,383663.5000,610383.2000,71429.1477,0.8088,421108.30
3M60J-04,GA-ACO,653222.1600,527736.8000,725843.2000,62760.2665,0.7495,849278.40
3M60J-04,ALNS,312530.1400,307785.0000,315668.3000,2399.4399,0.0000,300139.90
4M80J-01,GA-TS,226908.7094,222817.4000,231754.8000,2565.7838,0.7666,300044.70
4M80J-01,GA-GA,292202.8600,262363.7000,316453.5000,18598.9122,0.7906,471180.70
4M80J-01,GA-ACO,340171.9400,304590.4000,361630.4000,17011.9543,0.7369,778366.70
4M80J-01,ALNS,171499.0600,168313.6000,174599.8000,1951.2199,0.0000,300374.50
4M80J-02,GA-TS,211775.9200,204374.5000,218215.8000,4591.6901,0.7746,300021.40
4M80J-02,GA-GA,281500.7400,237642.8000,306858.5000,20195.5172,0.7992,499422.10
4M80J-02,GA-ACO,323907.7400,264506.8000,359803.7000,29784.7577,0.7351,765476.00
4M80J-02,ALNS,164508.1200,161059.3000,167539.0000,2360.9199,0.0000,300255.30
4M80J-03,GA-TS,243114.8212,230664.0000,250154.8000,5424.8779,0.7562,300034.70
4M80J-03,GA-GA,313301.2500,276114.0000,362408.5000,22973.0977,0.7607,470329.60
4M80J-03,GA-ACO,370061.6800,330593.5000,405807.6000,24711.2111,0.7284,840816.50
4M80J-03,ALNS,191142.3100,186386.5000,194097.0000,2241.8943,0.0000,300190.20
4M80J-04,GA-TS,214988.1624,210027.6471,224099.0000,3915.4176,0.7804,300040.80
4M80J-04,GA-GA,280023.0100,240586.8000,320414.4000,30418.2128,0.7957,440434.10
4M80J-04,GA-ACO,326303.2200,280698.8000,352430.4000,21013.3521,0.7232,786197.60
4M80J-04,ALNS,171573.0400,168128.4000,175619.0000,2125.8807,0.0000,300208.00
