Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.81711699,0.01341199,300.01
NSGAII,2,0.82865246,0.00000000,300.01
NSGAII,3,0.82865246,0.00000000,300.02
NSGAII,4,0.82839851,0.00870322,300.01
NSGAII,5,0.82865246,0.00000000,300.01
NSGAII,6,0.82865246,0.00000000,300.01
NSGAII,7,0.82865246,0.00000000,300.04
NSGAII,8,0.82865246,0.00000000,300.00
NSGAII,9,0.82865246,0.00000000,300.00
NSGAII,10,0.82865246,0.00000000,300.01
NSGAII-Basic,1,0.16227275,0.63021990,300.00
NSGAII-Basic,2,0.15629466,0.60582359,300.00
NSGAII-Basic,3,0.23922652,0.47436537,300.00
NSGAII-Basic,4,0.16292843,0.60711966,300.01
NSGAII-Basic,5,0.16292843,0.60711966,300.01
NSGAII-Basic,6,0.16220279,0.60711966,300.01
NSGAII-Basic,7,0.23922652,0.47436537,300.00
NSGAII-Basic,8,0.16292843,0.60711966,300.01
NSGAII-Basic,9,0.16220279,0.60711966,300.00
NSGAII-Basic,10,0.15629466,0.60582359,300.01
MOEAD,1,0.16099999,0.63089651,300.05
MOEAD,2,0.12514711,0.65809991,300.05
MOEAD,3,0.15134879,0.62738822,300.03
MOEAD,4,0.15175369,0.65656450,300.03
MOEAD,5,0.14682182,0.63342982,300.03
MOEAD,6,0.15758435,0.66025057,300.04
MOEAD,7,0.14804108,0.65441981,300.00
MOEAD,8,0.13651018,0.66445592,300.01
MOEAD,9,0.14072208,0.66176660,300.01
MOEAD,10,0.15120512,0.60722057,300.00
MOGWO,1,0.65881858,0.10052832,300.08
MOGWO,2,0.64005681,0.10795271,300.09
MOGWO,3,0.66106138,0.10282814,300.02
MOGWO,4,0.67758147,0.09451828,300.11
MOGWO,5,0.67383426,0.12903542,300.02
MOGWO,6,0.41211714,0.29712328,300.13
MOGWO,7,0.75077317,0.07702918,300.10
MOGWO,8,0.65526574,0.10555780,300.07
MOGWO,9,0.44642608,0.36932603,300.09
MOGWO,10,0.75012603,0.08148457,300.05
SPEA2,1,0.16515203,0.64417059,300.05
SPEA2,2,0.15629466,0.60582359,300.06
SPEA2,3,0.15629466,0.60582359,300.06
SPEA2,4,0.16227275,0.63021990,300.01
SPEA2,5,0.15253199,0.60524597,300.02
SPEA2,6,0.16220279,0.60711966,300.03
SPEA2,7,0.15565088,0.62780885,300.02
SPEA2,8,0.15245975,0.62983261,300.04
SPEA2,9,0.14804108,0.65441981,300.05
SPEA2,10,0.23678824,0.47704829,300.03
