================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验11 - T11_pop100_pc0.7_pm0.2_N30_TS100_L30
算例名称: 2M80J
运行ID: 2
实验时间: 2026-02-14 04:25:56

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.15
  交叉率: 0.7

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 512200.5000
运行时间: 300029 ms (300.03 秒)
终止代数: 3294

【收敛曲线数据】
代数	Cmax
1	559849.5000
11	525642.0000
21	523754.0000
31	523754.0000
41	523754.0000
51	523754.0000
61	523754.0000
71	523754.0000
81	523754.0000
91	523754.0000
101	523754.0000
111	523754.0000
121	523754.0000
131	523754.0000
141	523754.0000
151	523754.0000
161	523754.0000
171	523754.0000
181	523754.0000
191	523754.0000
201	523754.0000
211	523754.0000
221	523754.0000
231	523754.0000
241	523754.0000
251	523754.0000
261	523754.0000
271	523754.0000
281	523754.0000
291	523754.0000
301	523754.0000
311	523754.0000
321	523754.0000
331	523754.0000
341	523754.0000
351	523754.0000
361	523754.0000
371	523754.0000
381	523754.0000
391	523754.0000
401	523754.0000
411	523754.0000
421	523754.0000
431	523754.0000
441	523754.0000
451	523754.0000
461	523754.0000
471	523754.0000
481	523754.0000
491	523754.0000
501	523754.0000
511	523754.0000
521	523754.0000
531	523754.0000
541	523754.0000
551	523754.0000
561	523754.0000
571	523754.0000
581	523754.0000
591	523754.0000
601	523754.0000
611	522160.5000
621	522160.5000
631	522160.5000
641	522160.5000
651	522160.5000
661	522160.5000
671	522160.5000
681	522160.5000
691	522160.5000
701	522160.5000
711	522160.5000
721	522160.5000
731	522160.5000
741	522160.5000
751	520915.5000
761	520915.5000
771	520915.5000
781	520915.5000
791	520915.5000
801	520915.5000
811	520915.5000
821	520915.5000
831	520915.5000
841	520915.5000
851	520915.5000
861	520915.5000
871	520915.5000
881	520915.5000
891	520915.5000
901	512200.5000
911	512200.5000
921	512200.5000
931	512200.5000
941	512200.5000
951	512200.5000
961	512200.5000
971	512200.5000
981	512200.5000
991	512200.5000
1001	512200.5000
1011	512200.5000
1021	512200.5000
1031	512200.5000
1041	512200.5000
1051	512200.5000
1061	512200.5000
1071	512200.5000
1081	512200.5000
1091	512200.5000
1101	512200.5000
1111	512200.5000
1121	512200.5000
1131	512200.5000
1141	512200.5000
1151	512200.5000
1161	512200.5000
1171	512200.5000
1181	512200.5000
1191	512200.5000
1201	512200.5000
1211	512200.5000
1221	512200.5000
1231	512200.5000
1241	512200.5000
1251	512200.5000
1261	512200.5000
1271	512200.5000
1281	512200.5000
1291	512200.5000
1301	512200.5000
1311	512200.5000
1321	512200.5000
1331	512200.5000
1341	512200.5000
1351	512200.5000
1361	512200.5000
1371	512200.5000
1381	512200.5000
1391	512200.5000
1401	512200.5000
1411	512200.5000
1421	512200.5000
1431	512200.5000
1441	512200.5000
1451	512200.5000
1461	512200.5000
1471	512200.5000
1481	512200.5000
1491	512200.5000
1501	512200.5000
1511	512200.5000
1521	512200.5000
1531	512200.5000
1541	512200.5000
1551	512200.5000
1561	512200.5000
1571	512200.5000
1581	512200.5000
1591	512200.5000
1601	512200.5000
1611	512200.5000
1621	512200.5000
1631	512200.5000
1641	512200.5000
1651	512200.5000
1661	512200.5000
1671	512200.5000
1681	512200.5000
1691	512200.5000
1701	512200.5000
1711	512200.5000
1721	512200.5000
1731	512200.5000
1741	512200.5000
1751	512200.5000
1761	512200.5000
1771	512200.5000
1781	512200.5000
1791	512200.5000
1801	512200.5000
1811	512200.5000
1821	512200.5000
1831	512200.5000
1841	512200.5000
1851	512200.5000
1861	512200.5000
1871	512200.5000
1881	512200.5000
1891	512200.5000
1901	512200.5000
1911	512200.5000
1921	512200.5000
1931	512200.5000
1941	512200.5000
1951	512200.5000
1961	512200.5000
1971	512200.5000
1981	512200.5000
1991	512200.5000
