Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.76142754,0.21662085,300.26
NSGAII,2,0.92558078,0.13031013,300.00
NSGAII,3,0.78610678,0.24774106,300.02
NSGAII,4,0.66385994,0.34036303,300.10
NSGAII,5,0.72391123,0.24492795,300.01
NSGAII,6,0.71788156,0.29532676,300.05
NSGAII,7,0.77498047,0.27285992,300.14
NSGAII,8,0.99600004,0.17547712,300.11
NSGAII,9,0.80896041,0.24491799,300.09
NSGAII,10,0.64363677,0.28139833,300.03
NSGAII-Basic,1,0.34360427,0.54985760,300.00
NSGAII-Basic,2,0.41433969,0.44963129,300.03
NSGAII-Basic,3,0.80568092,0.16634152,300.02
NSGAII-Basic,4,0.51422911,0.36802170,300.00
NSGAII-Basic,5,0.63145981,0.30192959,300.02
NSGAII-Basic,6,0.62418862,0.29157811,300.03
NSGAII-Basic,7,0.59122727,0.32605197,300.02
NSGAII-Basic,8,0.45105802,0.41717258,300.02
NSGAII-Basic,9,0.55820457,0.36930890,300.01
NSGAII-Basic,10,0.38917051,0.47383186,300.02
MOEAD,1,0.16704542,0.75412928,300.28
MOEAD,2,0.16485267,0.77077161,300.03
MOEAD,3,0.25032202,0.63257334,300.34
MOEAD,4,0.16037357,0.76710357,300.39
MOEAD,5,0.29214367,0.60097537,300.34
MOEAD,6,0.04227892,0.99142505,300.30
MOEAD,7,0.23653792,0.64931856,300.34
MOEAD,8,0.18961322,0.72547037,300.08
MOEAD,9,0.17092617,0.74057096,300.04
MOEAD,10,0.27742019,0.59544728,300.20
MOGWO,1,0.17876538,0.74386190,300.41
MOGWO,2,0.37144909,0.53461835,300.46
MOGWO,3,0.19754670,0.72638725,300.23
MOGWO,4,0.19698958,0.71714642,300.15
MOGWO,5,0.29286295,0.62984878,300.22
MOGWO,6,0.20368448,0.71573730,300.42
MOGWO,7,0.25608462,0.66499447,300.27
MOGWO,8,0.42561107,0.47318473,300.31
MOGWO,9,0.29374306,0.63086778,300.26
MOGWO,10,0.34470390,0.53675309,300.49
SPEA2,1,0.44946173,0.41478528,300.03
SPEA2,2,0.81681137,0.19674141,300.04
SPEA2,3,0.32854335,0.54338091,300.07
SPEA2,4,0.45141588,0.41090508,300.04
SPEA2,5,0.56590848,0.34316148,300.01
SPEA2,6,0.48155517,0.40513742,300.08
SPEA2,7,0.49929228,0.37542618,300.00
SPEA2,8,0.50902407,0.37443126,300.02
SPEA2,9,0.33368602,0.53011146,300.07
SPEA2,10,0.34059967,0.52713722,300.04
