Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,211393.5294,0.7944,300049
GA-TS,216054.5000,0.7477,300023
GA-TS,214503.8000,0.7944,300026
GA-TS,213494.5000,0.7944,300039
GA-TS,211574.5000,0.7944,300013
GA-TS,210027.6471,0.7944,300180
GA-TS,215339.4118,0.7944,300010
GA-TS,214294.5000,0.7944,300033
GA-TS,224099.0000,0.7477,300022
GA-TS,219100.2353,0.7477,300013
GA-GA,241269.0000,0.7944,391494
GA-GA,320414.4000,0.7477,405036
GA-GA,282170.8000,0.8474,362333
GA-GA,265610.8000,0.8474,408985
GA-GA,313423.5000,0.7944,401887
GA-GA,240586.8000,0.7944,543129
GA-GA,259354.8000,0.7944,421373
GA-GA,253466.8000,0.7944,405916
GA-GA,306353.5000,0.7477,600990
GA-GA,317579.7000,0.7944,463198
GA-ACO,352430.4000,0.7062,954690
GA-ACO,316187.7000,0.7477,577792
GA-ACO,317115.7000,0.7477,799600
GA-ACO,349783.5000,0.7062,847263
GA-ACO,280698.8000,0.7477,585034
GA-ACO,328068.5000,0.7477,865022
GA-ACO,348667.7000,0.7062,896004
GA-ACO,321291.7000,0.7477,842982
GA-ACO,338168.5000,0.6690,581517
GA-ACO,310619.7000,0.7062,912072
ALNS,174609.0000,0.0000,300043
ALNS,171440.4000,0.0000,300153
ALNS,172084.0000,0.0000,300066
ALNS,170887.8000,0.0000,300128
ALNS,172094.5000,0.0000,300566
ALNS,169959.8000,0.0000,300445
ALNS,171351.8000,0.0000,300024
ALNS,169555.7000,0.0000,300225
ALNS,168128.4000,0.0000,300382
ALNS,175619.0000,0.0000,300048
