Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,214988.1624,210027.6471,224099.0000,3915.4176,0.7804,300040.80
GA-GA,280023.0100,240586.8000,320414.4000,30418.2128,0.7957,440434.10
GA-ACO,326303.2200,280698.8000,352430.4000,21013.3521,0.7232,786197.60
ALNS,171573.0400,168128.4000,175619.0000,2125.8807,0.0000,300208.00
