Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.06134811,0.06747813,300.58
NSGAII,2,1.04791476,0.06792382,300.07
NSGAII,3,0.89613529,0.14516609,300.47
NSGAII,4,0.94753938,0.11679067,300.68
NSGAII,5,0.92581745,0.13285436,300.64
NSGAII,6,0.73419433,0.25323812,300.11
NSGAII,7,0.96498077,0.10855392,300.31
NSGAII,8,0.98518873,0.09412129,300.55
NSGAII,9,0.78512999,0.20560610,300.84
NSGAII,10,0.90477971,0.13608369,300.22
NSGAII-Basic,1,0.81829107,0.21359500,300.03
NSGAII-Basic,2,1.04033466,0.08925979,300.01
NSGAII-Basic,3,0.84917493,0.18906182,300.06
NSGAII-Basic,4,0.79888854,0.27068708,300.02
NSGAII-Basic,5,0.85027537,0.19132413,300.03
NSGAII-Basic,6,0.86308077,0.18438964,300.04
NSGAII-Basic,7,0.79265715,0.24853594,300.03
NSGAII-Basic,8,1.00523392,0.12797700,300.03
NSGAII-Basic,9,0.94500821,0.13592862,300.01
NSGAII-Basic,10,1.09663502,0.08721817,300.05
MOEAD,1,0.39248238,0.60689068,300.91
MOEAD,2,0.32268355,0.68857144,300.79
MOEAD,3,0.44321072,0.55305736,300.77
MOEAD,4,0.51002860,0.49696173,300.82
MOEAD,5,0.08758619,0.93212105,300.30
MOEAD,6,0.37444806,0.61546451,300.16
MOEAD,7,0.42417930,0.57665813,300.51
MOEAD,8,0.27828828,0.71881022,300.32
MOEAD,9,0.40574109,0.59908731,300.64
MOEAD,10,0.23779888,0.77415333,300.61
MOGWO,1,0.36487426,0.65054861,300.32
MOGWO,2,0.46669392,0.49476452,300.27
MOGWO,3,0.19812154,0.82072319,300.28
MOGWO,4,0.51769106,0.49684193,300.75
MOGWO,5,0.35115399,0.62414749,300.07
MOGWO,6,0.30220521,0.67917790,300.29
MOGWO,7,0.36768189,0.59881177,300.23
MOGWO,8,0.14641411,0.86704393,300.64
MOGWO,9,0.22002432,0.77417128,300.09
MOGWO,10,0.59552787,0.40335631,300.10
SPEA2,1,1.02810009,0.08408414,300.10
SPEA2,2,0.54737915,0.48001368,300.11
SPEA2,3,0.50086109,0.50145357,300.12
SPEA2,4,0.62387397,0.38320767,300.14
SPEA2,5,0.74766094,0.30495675,300.05
SPEA2,6,0.65228888,0.35955983,300.16
SPEA2,7,0.83919600,0.19752957,300.09
SPEA2,8,0.78782315,0.27244202,300.06
SPEA2,9,0.72127070,0.31154807,300.16
SPEA2,10,0.91998932,0.15624884,300.17
