Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,378140.8000,0.7358,300024
GA-TS,366092.8000,0.7924,300027
GA-TS,362383.5000,0.7924,300017
GA-TS,363503.5000,0.7924,300023
GA-TS,369103.5000,0.7924,300032
GA-TS,364084.8000,0.8585,300012
GA-TS,371307.0000,0.7924,300020
GA-TS,373770.7500,0.7924,300013
GA-TS,375263.5000,0.7924,300038
GA-TS,367275.9000,0.7924,300037
GA-GA,363443.4000,0.7924,451614
GA-GA,437376.8000,0.7924,446390
GA-GA,467496.8000,0.8585,559820
GA-GA,421312.8000,0.7924,478278
GA-GA,515688.8000,0.8585,402320
GA-GA,412276.8000,0.7924,383622
GA-GA,445408.8000,0.7924,415063
GA-GA,519019.2000,0.7924,368900
GA-GA,480548.8000,0.7924,495642
GA-GA,364860.2000,0.7924,493337
GA-ACO,520023.2000,0.7358,858014
GA-ACO,420458.5500,0.7358,1097922
GA-ACO,685683.2000,0.7358,737711
GA-ACO,619419.2000,0.7358,725607
GA-ACO,591307.2000,0.7358,861717
GA-ACO,603355.2000,0.7358,797023
GA-ACO,397620.2000,0.7924,644541
GA-ACO,668615.2000,0.7924,907595
GA-ACO,668615.2000,0.7358,854680
GA-ACO,391460.2000,0.7358,962457
ALNS,309733.8000,0.0000,300109
ALNS,302840.8000,0.0000,300070
ALNS,298774.2000,0.0000,300108
ALNS,299965.9000,0.0000,300049
ALNS,298248.6000,0.0000,300096
ALNS,299828.8000,0.0000,300161
ALNS,302228.3000,0.0000,300035
ALNS,302343.9000,0.0000,300054
ALNS,301248.9000,0.0000,300029
ALNS,299828.8000,0.0000,300009
