Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,369092.6050,362383.5000,378140.8000,5102.6074,0.7934,300024.30
GA-GA,442743.2400,363443.4000,519019.2000,51921.7489,0.8056,449498.60
GA-ACO,556655.7350,391460.2000,685683.2000,110232.5854,0.7471,844726.70
ALNS,301504.2000,298248.6000,309733.8000,3111.9052,0.0000,300072.00
