Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,127363.3000,122688.0000,130158.0000,2365.7631,0.7115,300002.10
GA-GA,123136.9750,120820.5000,125094.0000,1395.5049,0.7115,334669.20
GA-ACO,129411.1000,125094.0000,134204.2500,2701.2471,0.7115,361806.00
ALNS,113507.3700,113350.5000,114919.2000,470.6100,0.0000,300002.90
