Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.07193425,0.12655523,300.01
NSGAII,2,0.98743145,0.12981868,300.02
NSGAII,3,1.06189280,0.09782575,300.02
NSGAII,4,1.12108885,0.12440643,300.02
NSGAII,5,1.16522971,0.04202891,300.05
NSGAII,6,1.03639357,0.12665666,300.01
NSGAII,7,1.01967538,0.12922164,300.04
NSGAII,8,1.02281000,0.13519943,300.01
NSGAII,9,1.04147360,0.10991289,300.02
NSGAII,10,0.77668850,0.26727634,300.02
NSGAII-Basic,1,0.64714530,0.46705100,300.00
NSGAII-Basic,2,0.42930220,0.66151933,300.01
NSGAII-Basic,3,0.62382545,0.46828233,300.00
NSGAII-Basic,4,0.63182287,0.47842388,300.01
NSGAII-Basic,5,0.62642716,0.48545065,300.01
NSGAII-Basic,6,0.54047798,0.56310793,300.01
NSGAII-Basic,7,0.64310236,0.47080322,300.01
NSGAII-Basic,8,0.51998511,0.58225204,300.01
NSGAII-Basic,9,0.64954597,0.46403990,300.00
NSGAII-Basic,10,0.65361607,0.46110932,300.01
MOEAD,1,0.03994991,1.17635562,300.06
MOEAD,2,0.31818427,0.75396430,300.01
MOEAD,3,0.05568772,1.13117089,300.01
MOEAD,4,0.24425784,0.80368366,300.01
MOEAD,5,0.33949831,0.73953437,300.08
MOEAD,6,0.22943678,0.85320977,300.08
MOEAD,7,0.04115435,1.16371542,300.04
MOEAD,8,0.25546800,0.80549978,300.09
MOEAD,9,0.33198549,0.72733560,300.07
MOEAD,10,0.06352174,1.11385595,300.08
MOGWO,1,0.85341675,0.29695077,300.05
MOGWO,2,0.67762845,0.37079132,300.10
MOGWO,3,0.73048782,0.34629581,300.17
MOGWO,4,0.83405138,0.23666368,300.14
MOGWO,5,0.82286555,0.21827299,300.04
MOGWO,6,0.67543737,0.38356230,300.07
MOGWO,7,0.59354524,0.39924117,300.10
MOGWO,8,0.85506988,0.25157897,300.02
MOGWO,9,0.30842249,0.73903268,300.20
MOGWO,10,0.91689848,0.19572845,300.11
SPEA2,1,0.40516936,0.66229492,300.03
SPEA2,2,0.33257724,0.74359888,300.06
SPEA2,3,0.46949566,0.58470285,300.03
SPEA2,4,0.48868511,0.59332442,300.05
SPEA2,5,0.62593192,0.48349484,300.02
SPEA2,6,0.48097420,0.59785259,300.04
SPEA2,7,0.46791687,0.58540569,300.03
SPEA2,8,0.41248609,0.67272437,300.07
SPEA2,9,0.50810597,0.59012673,300.02
SPEA2,10,0.58834572,0.50365447,300.06
