Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,267432.5750,257393.0000,277925.0000,5381.5723,0.7864,300014.40
GA-GA,251019.7250,247243.5000,255336.0000,2596.5873,0.7944,397163.30
GA-ACO,278166.7000,266125.0000,288017.2500,5990.1049,0.7467,575871.50
ALNS,230460.2600,228837.0000,232266.0000,914.3785,0.0000,300015.30
