Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,257393.0000,0.7944,300013,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,2,266541.0000,0.7944,300014,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,3,262821.0000,0.7944,300018,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,4,264051.0000,0.7944,300009,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,5,265889.0000,0.7944,300018,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,6,269058.7500,0.7149,300012,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,7,269429.0000,0.7944,300022,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,8,273441.0000,0.7944,300007,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,9,277925.0000,0.7944,300015,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-TS,10,267777.0000,0.7944,300016,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,1,247243.5000,0.7944,353683,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,2,251289.7500,0.7944,356461,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,3,253381.0000,0.7944,447929,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,4,250077.0000,0.7944,371543,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,5,253145.0000,0.7944,344574,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,6,247481.0000,0.7944,386769,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,7,249022.0000,0.7944,405327,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,8,253381.0000,0.7944,481494,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,9,255336.0000,0.7944,360766,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-GA,10,249841.0000,0.7944,463087,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-ACO,1,281701.0000,0.7944,434356,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
GA-ACO,2,279466.0000,0.7149,477541,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_40/printItem_40_01
