Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,257393.0000,0.7944,300013
GA-TS,266541.0000,0.7944,300014
GA-TS,262821.0000,0.7944,300018
GA-TS,264051.0000,0.7944,300009
GA-TS,265889.0000,0.7944,300018
GA-TS,269058.7500,0.7149,300012
GA-TS,269429.0000,0.7944,300022
GA-TS,273441.0000,0.7944,300007
GA-TS,277925.0000,0.7944,300015
GA-TS,267777.0000,0.7944,300016
GA-GA,247243.5000,0.7944,353683
GA-GA,251289.7500,0.7944,356461
GA-GA,253381.0000,0.7944,447929
GA-GA,250077.0000,0.7944,371543
GA-GA,253145.0000,0.7944,344574
GA-GA,247481.0000,0.7944,386769
GA-GA,249022.0000,0.7944,405327
GA-GA,253381.0000,0.7944,481494
GA-GA,255336.0000,0.7944,360766
GA-GA,249841.0000,0.7944,463087
GA-ACO,281701.0000,0.7944,434356
GA-ACO,279466.0000,0.7149,477541
GA-ACO,280174.0000,0.7149,548234
GA-ACO,273566.0000,0.7149,680579
GA-ACO,277689.0000,0.7944,621324
GA-ACO,288017.2500,0.7149,619190
GA-ACO,280993.0000,0.7944,648446
GA-ACO,282726.0000,0.7149,548526
GA-ACO,266125.0000,0.7944,592657
GA-ACO,271209.7500,0.7149,587862
ALNS,230725.0000,0.0000,300003
ALNS,228837.0000,0.0000,300020
ALNS,229545.0000,0.0000,300003
ALNS,230961.0000,0.0000,300006
ALNS,230961.0000,0.0000,300035
ALNS,232266.0000,0.0000,300006
ALNS,230725.0000,0.0000,300018
ALNS,229545.0000,0.0000,300012
ALNS,230784.6000,0.0000,300016
ALNS,230253.0000,0.0000,300034
