# Pareto Front
# Size: 23
# Format: Cmax Energy

91006.000000	211.526039
91100.000000	211.469594
93156.000000	211.321953
87170.000000	222.885530
85515.000000	223.279399
79165.000000	234.041415
90895.000000	211.585214
76646.000000	234.799491
91465.000000	211.383742
86206.000000	222.971383
85587.000000	223.151944
75485.000000	235.833796
79458.000000	234.015562
88831.000000	217.548201
78495.000000	234.101415
85616.000000	223.003763
75355.000000	236.042323
89041.000000	217.453493
88933.000000	217.545048
76606.000000	235.127730
76313.000000	235.153583
90005.000000	217.367640
85395.000000	223.340169
