ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
V0-Full,完整算法,444393.7000,434364.8000,449400.9000,5038.2212,0.7889,323544.71,0.00
V1-RandomInit,随机初始化,457475.4357,432900.2000,496976.9000,23977.7407,0.7607,1074915.29,2.94
V2-SimpleMutation,简化变异,471587.4714,420930.9000,718815.2000,101103.2274,0.7748,704817.14,6.12
V3-NoTabu,无禁忌搜索,438101.5875,429417.1500,446340.2000,6162.7153,0.7758,300048.25,-1.42
V4-SimpleScore,简化评分,483271.1857,444380.2000,645570.3000,68901.6122,0.7288,688134.43,8.75
V5-Minimal,最小配置,505290.4750,418740.9000,677651.2000,91678.5578,0.6955,963742.63,13.70
