ConfigName,Cmax,AvgUtilization,TimeMs
完整算法,448580.2000,0.7889,300027
完整算法,449400.9000,0.7889,300041
完整算法,434364.8000,0.7889,300057
完整算法,440388.8000,0.7889,300040
完整算法,448420.8000,0.7889,300030
完整算法,445780.2000,0.7889,300042
完整算法,443820.2000,0.7889,464576
随机初始化,442140.2000,0.7889,300039
随机初始化,452436.8000,0.7889,300031
随机初始化,446340.2000,0.7889,300040
随机初始化,439900.2000,0.7889,300042
随机初始化,432900.2000,0.7889,300144
随机初始化,496976.9000,0.6903,3088139
随机初始化,491633.5500,0.6903,2935972
简化变异,420930.9000,0.7889,300028
简化变异,425060.2000,0.7889,300044
简化变异,428700.2000,0.7889,300054
简化变异,432356.8000,0.7889,300069
简化变异,440388.8000,0.7889,300332
简化变异,434860.2000,0.7889,463903
简化变异,718815.2000,0.6903,2969290
无禁忌搜索,429417.1500,0.7889,300048
无禁忌搜索,446340.2000,0.7889,300053
无禁忌搜索,436260.2000,0.7889,300042
无禁忌搜索,440388.8000,0.7363,300050
简化评分,444380.2000,0.7889,300031
简化评分,448860.2000,0.7889,300009
简化评分,448300.2000,0.7889,300050
简化评分,449749.8000,0.7363,300038
简化评分,444404.8000,0.7363,300048
简化评分,501632.8000,0.7363,381257
简化评分,645570.3000,0.5259,2935508
最小配置,423320.8000,0.7889,300045
最小配置,442396.8000,0.7889,300058
最小配置,418740.9000,0.7889,300031
最小配置,435368.8000,0.7889,300072
最小配置,510522.3000,0.6903,332979
最小配置,508879.8000,0.6903,2936511
最小配置,677651.2000,0.5020,2875870
最小配置,625443.2000,0.5259,364375
