ConfigID,ConfigName,RunID,Cmax,AvgUtilization,TimeMs
V0-Full,完整算法,1,448580.2000,0.7889,300027
V0-Full,完整算法,2,449400.9000,0.7889,300041
V0-Full,完整算法,3,434364.8000,0.7889,300057
V0-Full,完整算法,4,440388.8000,0.7889,300040
V0-Full,完整算法,5,448420.8000,0.7889,300030
V0-Full,完整算法,6,445780.2000,0.7889,300042
V0-Full,完整算法,7,443820.2000,0.7889,464576
V1-RandomInit,随机初始化,1,442140.2000,0.7889,300039
V1-RandomInit,随机初始化,2,452436.8000,0.7889,300031
V1-RandomInit,随机初始化,3,446340.2000,0.7889,300040
V1-RandomInit,随机初始化,4,439900.2000,0.7889,300042
V1-RandomInit,随机初始化,6,432900.2000,0.7889,300144
V1-RandomInit,随机初始化,8,496976.9000,0.6903,3088139
V1-RandomInit,随机初始化,9,491633.5500,0.6903,2935972
V2-SimpleMutation,简化变异,1,420930.9000,0.7889,300028
V2-SimpleMutation,简化变异,2,425060.2000,0.7889,300044
V2-SimpleMutation,简化变异,3,428700.2000,0.7889,300054
V2-SimpleMutation,简化变异,4,432356.8000,0.7889,300069
V2-SimpleMutation,简化变异,6,440388.8000,0.7889,300332
V2-SimpleMutation,简化变异,7,434860.2000,0.7889,463903
V2-SimpleMutation,简化变异,9,718815.2000,0.6903,2969290
V3-NoTabu,无禁忌搜索,1,429417.1500,0.7889,300048
V3-NoTabu,无禁忌搜索,2,446340.2000,0.7889,300053
V3-NoTabu,无禁忌搜索,3,436260.2000,0.7889,300042
V3-NoTabu,无禁忌搜索,4,440388.8000,0.7363,300050
V4-SimpleScore,简化评分,1,444380.2000,0.7889,300031
V4-SimpleScore,简化评分,2,448860.2000,0.7889,300009
V4-SimpleScore,简化评分,3,448300.2000,0.7889,300050
V4-SimpleScore,简化评分,4,449749.8000,0.7363,300038
V4-SimpleScore,简化评分,5,444404.8000,0.7363,300048
V4-SimpleScore,简化评分,7,501632.8000,0.7363,381257
V4-SimpleScore,简化评分,9,645570.3000,0.5259,2935508
V5-Minimal,最小配置,1,423320.8000,0.7889,300045
V5-Minimal,最小配置,2,442396.8000,0.7889,300058
V5-Minimal,最小配置,3,418740.9000,0.7889,300031
V5-Minimal,最小配置,5,435368.8000,0.7889,300072
V5-Minimal,最小配置,7,510522.3000,0.6903,332979
V5-Minimal,最小配置,8,508879.8000,0.6903,2936511
V5-Minimal,最小配置,9,677651.2000,0.5020,2875870
V5-Minimal,最小配置,10,625443.2000,0.5259,364375
