Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.34642864,0.47011246,300.62
NSGAII,2,0.36062259,0.49181317,300.73
NSGAII,3,0.34083387,0.70496519,300.30
NSGAII,4,0.11317990,0.18568260,300.72
NSGAII,5,0.26972629,0.21324668,300.33
NSGAII,6,0.36333653,0.57301737,300.17
NSGAII,7,0.36876673,0.36963224,300.20
NSGAII,8,0.24432771,0.25855756,300.60
NSGAII,9,0.31210014,0.47259961,300.79
NSGAII,10,0.26298322,0.29696782,300.23
NSGAII-Basic,1,0.21127331,0.22552735,300.01
NSGAII-Basic,2,0.38669080,0.43947880,300.01
NSGAII-Basic,3,0.12920552,0.18738193,300.01
NSGAII-Basic,4,0.22485549,0.10639668,300.02
NSGAII-Basic,5,0.39700439,0.25453683,300.04
NSGAII-Basic,6,0.41885671,0.47863114,300.02
NSGAII-Basic,7,0.06822229,0.13844590,300.01
NSGAII-Basic,8,0.33799141,0.28030892,300.05
NSGAII-Basic,9,0.38899930,0.40973424,300.05
NSGAII-Basic,10,0.34165667,0.51908859,300.03
MOEAD,1,0.16624248,0.57574569,300.06
MOEAD,2,0.19746522,0.66840171,300.06
MOEAD,3,0.41939232,0.79627405,300.06
MOEAD,4,0.30666186,0.50998403,300.06
MOEAD,5,0.34119841,0.83415719,300.06
MOEAD,6,0.28231191,0.96359909,300.09
MOEAD,7,0.28874731,0.38786251,300.06
MOEAD,8,0.26969531,0.57338994,300.06
MOEAD,9,0.22872878,0.74311569,300.06
MOEAD,10,0.36122125,0.70670762,300.07
MOGWO,1,0.44321884,0.79864552,300.06
MOGWO,2,0.35037935,0.69951200,300.03
MOGWO,3,0.38101289,0.74229925,300.07
MOGWO,4,0.32535956,0.77152732,300.04
MOGWO,5,0.27535611,0.74489730,300.03
MOGWO,6,0.39577161,0.76464250,300.04
MOGWO,7,0.12429433,1.06334006,300.05
MOGWO,8,0.48458284,0.56618440,300.03
MOGWO,9,0.37035024,0.80435104,300.07
MOGWO,10,0.20256658,0.72316790,300.03
SPEA2,1,0.28492791,0.21272161,300.09
SPEA2,2,0.22520970,0.12170348,300.07
SPEA2,3,0.32864401,0.38940308,300.07
SPEA2,4,0.35942951,0.36201194,300.11
SPEA2,5,0.23268229,0.05872954,300.07
SPEA2,6,0.23968798,0.30920806,300.08
SPEA2,7,0.41853506,0.38982931,300.10
SPEA2,8,0.41395025,0.38119575,300.07
SPEA2,9,0.21034754,0.18936356,300.09
SPEA2,10,0.27556530,0.16982922,300.08
