迭代次数,Cmax
1,257393.0000
2,248897.0000
3,243705.0000
4,241625.7000
5,241625.7000
6,241625.7000
7,241625.7000
8,241625.7000
9,241625.7000
10,241625.7000
11,241625.7000
12,241625.7000
13,241625.7000
14,241625.7000
15,241625.7000
16,241625.7000
17,241625.7000
18,241625.7000
19,241625.7000
20,241625.7000
21,241625.7000
22,241625.7000
23,241625.7000
24,241625.7000
25,241625.7000
26,239929.0000
27,239929.0000
28,239929.0000
29,239929.0000
30,239929.0000
31,239929.0000
32,239929.0000
33,239929.0000
34,239929.0000
35,239929.0000
36,239929.0000
37,239929.0000
38,239929.0000
39,239929.0000
40,239929.0000
41,239929.0000
42,239929.0000
43,239929.0000
44,239929.0000
45,239929.0000
46,239929.0000
47,239929.0000
48,239929.0000
49,239929.0000
50,239929.0000
51,239929.0000
52,239929.0000
53,239929.0000
54,239929.0000
55,239929.0000
56,239929.0000
57,239929.0000
58,239929.0000
59,239929.0000
60,239929.0000
61,239929.0000
62,239929.0000
63,239929.0000
64,239929.0000
65,239929.0000
66,239929.0000
67,239929.0000
68,239929.0000
69,239929.0000
70,239929.0000
71,239929.0000
72,239929.0000
73,239929.0000
74,239929.0000
75,239929.0000
76,239929.0000
77,239929.0000
78,239929.0000
79,239929.0000
80,239929.0000
81,239929.0000
82,239929.0000
83,239929.0000
84,239929.0000
85,239929.0000
86,239929.0000
87,239929.0000
88,239929.0000
89,239929.0000
90,239929.0000
91,239929.0000
92,239929.0000
93,239929.0000
94,239459.4000
95,239459.4000
96,239459.4000
97,239459.4000
98,239459.4000
99,239459.4000
100,239459.4000
101,239459.4000
102,239459.4000
103,239459.4000
104,239459.4000
105,238985.0000
106,238985.0000
107,238985.0000
108,238985.0000
109,238985.0000
110,238985.0000
111,237805.0000
112,237805.0000
113,237805.0000
114,237805.0000
115,237805.0000
116,237805.0000
117,237805.0000
118,237805.0000
119,237805.0000
120,237805.0000
121,237805.0000
122,237805.0000
123,237805.0000
124,237805.0000
125,237805.0000
126,235209.0000
127,235209.0000
128,235209.0000
129,235209.0000
130,234973.0000
131,234973.0000
132,234973.0000
133,234973.0000
134,234973.0000
135,234973.0000
136,234973.0000
137,234973.0000
138,234973.0000
139,234973.0000
140,234973.0000
141,234973.0000
142,234973.0000
143,234973.0000
144,234973.0000
145,234973.0000
146,234973.0000
147,234973.0000
148,234973.0000
149,234973.0000
150,234973.0000
151,234973.0000
152,234973.0000
153,234973.0000
154,234973.0000
155,234973.0000
156,234973.0000
157,234973.0000
158,234973.0000
159,234155.7000
160,234155.7000
161,234155.7000
162,234155.7000
163,234155.7000
164,234155.7000
165,234155.7000
166,234155.7000
167,234155.7000
168,234155.7000
169,234155.7000
170,234155.7000
171,234155.7000
172,234155.7000
173,234155.7000
174,234155.7000
175,234155.7000
176,234155.7000
177,234155.7000
178,234155.7000
179,234155.7000
180,234155.7000
181,234155.7000
182,234155.7000
183,234155.7000
184,234155.7000
185,234155.7000
186,234155.7000
187,234155.7000
188,234155.7000
189,234155.7000
190,234155.7000
191,234155.7000
192,234155.7000
193,234155.7000
194,234155.7000
195,234155.7000
196,234155.7000
197,234155.7000
198,234155.7000
199,234155.7000
200,234155.7000
201,234155.7000
202,234155.7000
203,234155.7000
204,234155.7000
205,234155.7000
206,234155.7000
207,234155.7000
208,234155.7000
209,234155.7000
210,234155.7000
211,234155.7000
212,234155.7000
213,234155.7000
214,234155.7000
215,234155.7000
216,234155.7000
217,234155.7000
218,234155.7000
219,234155.7000
220,234155.7000
221,234155.7000
222,234155.7000
223,234155.7000
224,234155.7000
225,234155.7000
226,234155.7000
227,234155.7000
228,234155.7000
229,234155.7000
230,234155.7000
231,234155.7000
232,234155.7000
233,234155.7000
234,234155.7000
235,234155.7000
236,234155.7000
237,234155.7000
238,234155.7000
239,234155.7000
240,234155.7000
241,234155.7000
242,234155.7000
243,234155.7000
244,234155.7000
245,234155.7000
246,234155.7000
247,234155.7000
248,234155.7000
249,234155.7000
250,234155.7000
251,234155.7000
252,234155.7000
253,234155.7000
254,234155.7000
255,234155.7000
256,234155.7000
257,234155.7000
258,234155.7000
259,234155.7000
260,234155.7000
261,234155.7000
262,234155.7000
263,234155.7000
264,234155.7000
265,234155.7000
266,234155.7000
267,234155.7000
268,234155.7000
269,234155.7000
270,234155.7000
271,234155.7000
272,234155.7000
273,234155.7000
274,234155.7000
275,234155.7000
276,234155.7000
277,234155.7000
278,234155.7000
279,234155.7000
280,234155.7000
281,234155.7000
282,234155.7000
283,234155.7000
284,234155.7000
285,234155.7000
286,234155.7000
287,234155.7000
288,234155.7000
289,234155.7000
