================================================================================
                          实验结果报告
================================================================================
实验名称: 完整算法 - 50%启发式+LocalSearch变异+禁忌搜索+复杂评分
算例名称: 2M20J
运行ID: 2
实验时间: 2026-02-07 09:39:43

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 150078.0000
运行时间: 300032 ms (300.03 秒)
终止代数: 5694

【收敛曲线数据】
代数	Cmax
1	185588.2500
11	166885.5000
21	166885.5000
31	161327.0000
41	161327.0000
51	159415.5000
61	159415.5000
71	159415.5000
81	159415.5000
91	159415.5000
101	159415.5000
111	159415.5000
121	159415.5000
131	159415.5000
141	159415.5000
151	159415.5000
161	158495.0000
171	158495.0000
181	158495.0000
191	158495.0000
201	158495.0000
211	158495.0000
221	158495.0000
231	158495.0000
241	158495.0000
251	158495.0000
261	158495.0000
271	158495.0000
281	158495.0000
291	158495.0000
301	158495.0000
311	158495.0000
321	158495.0000
331	158495.0000
341	158495.0000
351	158495.0000
361	158495.0000
371	158495.0000
381	158495.0000
391	158495.0000
401	158495.0000
411	158495.0000
421	158495.0000
431	158495.0000
441	158495.0000
451	158495.0000
461	158495.0000
471	158495.0000
481	158495.0000
491	158495.0000
501	158495.0000
511	158495.0000
521	158495.0000
531	158495.0000
541	158495.0000
551	158495.0000
561	158495.0000
571	158495.0000
581	158495.0000
591	158495.0000
601	158495.0000
611	158495.0000
621	158495.0000
631	158495.0000
641	158495.0000
651	158495.0000
661	158495.0000
671	158495.0000
681	158495.0000
691	158495.0000
701	158495.0000
711	158495.0000
721	158495.0000
731	153775.0000
741	153775.0000
751	153775.0000
761	153775.0000
771	153775.0000
781	153775.0000
791	153775.0000
801	153775.0000
811	153775.0000
821	153775.0000
831	153775.0000
841	153775.0000
851	153775.0000
861	153775.0000
871	153775.0000
881	153775.0000
891	153501.7500
901	153501.7500
911	153501.7500
921	153501.7500
931	153501.7500
941	153501.7500
951	153501.7500
961	153501.7500
971	153501.7500
981	153501.7500
991	153501.7500
1001	153501.7500
1011	153501.7500
1021	153501.7500
1031	153501.7500
1041	153501.7500
1051	153501.7500
1061	153501.7500
1071	153501.7500
1081	153501.7500
1091	153501.7500
1101	153501.7500
1111	153501.7500
1121	153501.7500
1131	153501.7500
1141	153501.7500
1151	153501.7500
1161	153501.7500
1171	153501.7500
1181	153501.7500
1191	153501.7500
1201	153501.7500
1211	153501.7500
1221	153501.7500
1231	153501.7500
1241	153501.7500
1251	153501.7500
1261	153501.7500
1271	153501.7500
1281	153501.7500
1291	153501.7500
1301	153501.7500
1311	153501.7500
1321	153501.7500
1331	153501.7500
1341	153501.7500
1351	153501.7500
1361	153501.7500
1371	153501.7500
1381	153501.7500
1391	153501.7500
1401	153501.7500
1411	153501.7500
1421	153501.7500
1431	153501.7500
1441	153501.7500
1451	153501.7500
1461	153501.7500
1471	153501.7500
1481	153501.7500
1491	153501.7500
1501	153501.7500
1511	153501.7500
1521	153501.7500
1531	153501.7500
1541	153501.7500
1551	153501.7500
1561	153501.7500
1571	153501.7500
1581	153501.7500
1591	153501.7500
1601	153501.7500
1611	153501.7500
1621	153501.7500
1631	153501.7500
1641	153501.7500
1651	153501.7500
1661	153501.7500
1671	153501.7500
1681	153501.7500
1691	153501.7500
1701	153501.7500
1711	153501.7500
1721	153501.7500
1731	153501.7500
1741	153501.7500
1751	153501.7500
1761	153501.7500
1771	153501.7500
1781	153501.7500
1791	153501.7500
1801	150078.0000
1811	150078.0000
1821	150078.0000
1831	150078.0000
1841	150078.0000
1851	150078.0000
1861	150078.0000
1871	150078.0000
1881	150078.0000
1891	150078.0000
1901	150078.0000
1911	150078.0000
1921	150078.0000
1931	150078.0000
1941	150078.0000
1951	150078.0000
1961	150078.0000
1971	150078.0000
1981	150078.0000
1991	150078.0000
2001	150078.0000
2011	150078.0000
2021	150078.0000
2031	150078.0000
2041	150078.0000
2051	150078.0000
2061	150078.0000
2071	150078.0000
2081	150078.0000
2091	150078.0000
2101	150078.0000
2111	150078.0000
2121	150078.0000
2131	150078.0000
2141	150078.0000
2151	150078.0000
2161	150078.0000
2171	150078.0000
2181	150078.0000
2191	150078.0000
2201	150078.0000
2211	150078.0000
2221	150078.0000
2231	150078.0000
2241	150078.0000
2251	150078.0000
2261	150078.0000
2271	150078.0000
2281	150078.0000
2291	150078.0000
2301	150078.0000
2311	150078.0000
2321	150078.0000
2331	150078.0000
2341	150078.0000
2351	150078.0000
2361	150078.0000
2371	150078.0000
2381	150078.0000
2391	150078.0000
2401	150078.0000
2411	150078.0000
2421	150078.0000
2431	150078.0000
