ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
V0-Full,完整算法,270701.4167,262806.0000,278633.0000,5068.8872,0.7855,328369.56,0.00
V1-RandomInit,随机初始化,270935.7500,265889.0000,282409.0000,5711.1975,0.7811,309670.67,0.09
V2-SimpleMutation,简化变异,268719.7500,259071.0000,275567.2500,5772.8275,0.7944,353785.00,-0.73
V3-NoTabu,无禁忌搜索,270149.5714,261169.0000,287394.7500,8249.2803,0.7830,314894.86,-0.20
V4-SimpleScore,简化评分,273080.5417,261405.0000,279302.2500,6109.3316,0.7811,341018.50,0.88
V5-Minimal,最小配置,288291.9444,258448.5000,403546.5000,43444.2412,0.7364,324552.22,6.50
