ConfigName,Cmax,AvgUtilization,TimeMs
完整算法,275256.0000,0.7944,300022
完整算法,278633.0000,0.7944,300027
完整算法,262806.0000,0.7944,300012
完整算法,265417.0000,0.7944,300026
完整算法,271832.2500,0.7149,300024
完整算法,276981.0000,0.7944,304532
完整算法,269193.0000,0.7944,388023
完整算法,268719.7500,0.7944,304780
完整算法,267474.7500,0.7944,457880
随机初始化,282409.0000,0.7944,300020
随机初始化,266125.0000,0.7944,300027
随机初始化,268138.0000,0.7149,300028
随机初始化,273388.5000,0.7944,300025
随机初始化,269665.0000,0.7944,300080
随机初始化,265889.0000,0.7944,357844
简化变异,273388.5000,0.7944,300024
简化变异,266541.0000,0.7944,300013
简化变异,275567.2500,0.7944,300016
简化变异,259071.0000,0.7944,568794
简化变异,269031.0000,0.7944,300078
无禁忌搜索,264709.0000,0.7944,300024
无禁忌搜索,276501.0000,0.7944,300023
无禁忌搜索,266852.2500,0.7944,300020
无禁忌搜索,287394.7500,0.7944,308696
无禁忌搜索,266880.0000,0.7149,393318
无禁忌搜索,267541.0000,0.7944,300047
无禁忌搜索,261169.0000,0.7944,302136
简化评分,276273.0000,0.7944,300027
简化评分,279302.2500,0.7149,300012
简化评分,274621.0000,0.7944,300032
简化评分,261405.0000,0.7944,388046
简化评分,277689.0000,0.7944,300073
简化评分,269193.0000,0.7944,457921
最小配置,262806.0000,0.7944,300009
最小配置,270587.2500,0.7944,300038
最小配置,258448.5000,0.7944,300032
最小配置,296694.0000,0.7149,308710
最小配置,304202.2500,0.7149,313580
最小配置,271521.0000,0.7149,300074
最小配置,265181.0000,0.7944,300071
最小配置,261641.0000,0.7944,307041
最小配置,403546.5000,0.5107,491415
