# Pareto Front
# Size: 29
# Format: Cmax Energy

58588.000000	271.042766
50470.000000	283.130286
50940.000000	277.906840
52585.000000	273.544016
52114.000000	276.269857
56222.000000	271.310705
57388.000000	271.210933
57422.000000	271.142538
55646.000000	271.570352
51307.000000	276.735699
54935.000000	271.628444
51993.000000	276.636960
51112.000000	277.615326
53851.000000	272.052960
54480.000000	271.670124
56135.000000	271.460277
54359.000000	271.953188
51301.000000	276.829601
55680.000000	271.501958
53502.000000	272.198047
52860.000000	273.040435
52785.000000	273.270874
53272.000000	272.830219
53129.000000	272.861333
53395.000000	272.567994
53286.000000	272.590149
52027.000000	276.583976
53439.000000	272.327924
54393.000000	271.884794
