Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,140097.7500,131091.7500,154435.5000,6547.1138,0.8218,300004.00
GA-GA,132465.9250,130050.0000,138873.0000,2460.1011,0.8218,329224.30
GA-ACO,147829.7500,141674.2500,151011.7500,3530.9911,0.7725,368942.70
ALNS,130222.6800,130050.0000,130481.7000,211.4889,0.0000,300002.20
