Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,131091.7500,0.8218,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,2,131091.7500,0.8218,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,3,154435.5000,0.8218,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,4,141985.5000,0.8218,300009,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,5,144475.5000,0.8218,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,6,137005.5000,0.8218,300007,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,7,143541.7500,0.8218,300006,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,8,141674.2500,0.8218,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,9,139254.0000,0.8218,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-TS,10,136422.0000,0.8218,300006,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,1,134534.0000,0.8218,337702,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,2,132646.0000,0.8218,316793,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,3,131091.7500,0.8218,340587,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,4,131230.0000,0.8218,327239,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,5,130050.0000,0.8218,323038,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,6,131091.7500,0.8218,311817,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,7,131091.7500,0.8218,319599,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,8,132959.2500,0.8218,332751,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,9,138873.0000,0.8218,363983,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-GA,10,131091.7500,0.8218,318734,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-ACO,1,148521.7500,0.6574,367674,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-ACO,2,150943.0000,0.6574,366356,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-ACO,3,141985.5000,0.8218,393642,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
GA-ACO,4,150078.0000,0.8218,383967,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_03
