Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,131091.7500,0.8218,300002
GA-TS,131091.7500,0.8218,300001
GA-TS,154435.5000,0.8218,300003
GA-TS,141985.5000,0.8218,300009
GA-TS,144475.5000,0.8218,300003
GA-TS,137005.5000,0.8218,300007
GA-TS,143541.7500,0.8218,300006
GA-TS,141674.2500,0.8218,300001
GA-TS,139254.0000,0.8218,300002
GA-TS,136422.0000,0.8218,300006
GA-GA,134534.0000,0.8218,337702
GA-GA,132646.0000,0.8218,316793
GA-GA,131091.7500,0.8218,340587
GA-GA,131230.0000,0.8218,327239
GA-GA,130050.0000,0.8218,323038
GA-GA,131091.7500,0.8218,311817
GA-GA,131091.7500,0.8218,319599
GA-GA,132959.2500,0.8218,332751
GA-GA,138873.0000,0.8218,363983
GA-GA,131091.7500,0.8218,318734
GA-ACO,148521.7500,0.6574,367674
GA-ACO,150943.0000,0.6574,366356
GA-ACO,141985.5000,0.8218,393642
GA-ACO,150078.0000,0.8218,383967
GA-ACO,151011.7500,0.8218,358603
GA-ACO,141674.2500,0.8218,358946
GA-ACO,150078.0000,0.8218,365761
GA-ACO,144164.2500,0.8218,399872
GA-ACO,150078.0000,0.8218,347851
GA-ACO,149763.0000,0.6574,346755
ALNS,130481.7000,0.0000,300007
ALNS,130050.0000,0.0000,300002
ALNS,130481.7000,0.0000,300000
ALNS,130050.0000,0.0000,300001
ALNS,130481.7000,0.0000,300000
ALNS,130050.0000,0.0000,300005
ALNS,130050.0000,0.0000,300002
ALNS,130050.0000,0.0000,300002
ALNS,130481.7000,0.0000,300000
ALNS,130050.0000,0.0000,300003
