================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验7 - T07_pop50_pc0.9_pm0.2_N30_TS50_L10
算例名称: 2M80J
运行ID: 2
实验时间: 2026-02-13 19:16:18

【参数配置】
  最大代数: 1000000
  种群规模: 50
  变异率: 0.2
  交叉率: 0.9

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 526114.0000
运行时间: 300012 ms (300.01 秒)
终止代数: 4841

【收敛曲线数据】
代数	Cmax
1	585994.5000
11	550173.0000
21	549006.0000
31	549006.0000
41	549006.0000
51	549006.0000
61	549006.0000
71	549006.0000
81	549006.0000
91	548928.0000
101	548928.0000
111	548928.0000
121	548928.0000
131	548928.0000
141	548928.0000
151	548928.0000
161	548928.0000
171	548928.0000
181	548928.0000
191	548928.0000
201	548928.0000
211	548928.0000
221	548928.0000
231	548928.0000
241	548928.0000
251	548928.0000
261	548928.0000
271	548928.0000
281	548928.0000
291	548928.0000
301	548928.0000
311	548928.0000
321	548928.0000
331	548928.0000
341	548928.0000
351	548928.0000
361	548928.0000
371	548928.0000
381	548928.0000
391	548928.0000
401	548928.0000
411	548928.0000
421	548928.0000
431	548928.0000
441	548928.0000
451	548928.0000
461	548928.0000
471	548928.0000
481	548928.0000
491	548928.0000
501	548928.0000
511	548928.0000
521	548928.0000
531	548928.0000
541	548928.0000
551	548928.0000
561	548928.0000
571	548928.0000
581	548928.0000
591	548928.0000
601	548928.0000
611	548928.0000
621	548928.0000
631	548928.0000
641	548928.0000
651	548928.0000
661	548928.0000
671	548928.0000
681	548928.0000
691	548928.0000
701	548928.0000
711	548928.0000
721	548928.0000
731	548928.0000
741	548928.0000
751	548928.0000
761	548928.0000
771	548928.0000
781	548928.0000
791	548928.0000
801	548928.0000
811	548928.0000
821	545193.0000
831	536970.0000
841	536970.0000
851	536970.0000
861	536970.0000
871	536970.0000
881	536970.0000
891	536970.0000
901	536970.0000
911	536970.0000
921	536970.0000
931	536970.0000
941	536970.0000
951	536970.0000
961	536970.0000
971	536970.0000
981	536970.0000
991	536970.0000
1001	536970.0000
1011	536970.0000
1021	536970.0000
1031	536970.0000
1041	536970.0000
1051	536970.0000
1061	536970.0000
1071	536970.0000
1081	536970.0000
1091	536970.0000
1101	536970.0000
1111	536970.0000
1121	536970.0000
1131	536970.0000
1141	536970.0000
1151	536970.0000
1161	536970.0000
1171	536970.0000
1181	536970.0000
1191	536970.0000
1201	536970.0000
1211	536970.0000
1221	536970.0000
1231	536970.0000
1241	536970.0000
1251	536970.0000
1261	536970.0000
1271	536970.0000
1281	536970.0000
1291	536970.0000
1301	536970.0000
1311	536970.0000
1321	536970.0000
1331	536970.0000
1341	526114.0000
1351	526114.0000
1361	526114.0000
1371	526114.0000
1381	526114.0000
1391	526114.0000
1401	526114.0000
1411	526114.0000
1421	526114.0000
1431	526114.0000
1441	526114.0000
1451	526114.0000
1461	526114.0000
1471	526114.0000
1481	526114.0000
1491	526114.0000
1501	526114.0000
1511	526114.0000
1521	526114.0000
1531	526114.0000
1541	526114.0000
1551	526114.0000
1561	526114.0000
1571	526114.0000
1581	526114.0000
1591	526114.0000
1601	526114.0000
1611	526114.0000
1621	526114.0000
1631	526114.0000
1641	526114.0000
1651	526114.0000
1661	526114.0000
1671	526114.0000
1681	526114.0000
1691	526114.0000
1701	526114.0000
1711	526114.0000
1721	526114.0000
1731	526114.0000
1741	526114.0000
1751	526114.0000
1761	526114.0000
1771	526114.0000
1781	526114.0000
1791	526114.0000
1801	526114.0000
1811	526114.0000
1821	526114.0000
1831	526114.0000
1841	526114.0000
1851	526114.0000
1861	526114.0000
1871	526114.0000
1881	526114.0000
1891	526114.0000
1901	526114.0000
1911	526114.0000
1921	526114.0000
1931	526114.0000
1941	526114.0000
1951	526114.0000
1961	526114.0000
1971	526114.0000
1981	526114.0000
1991	526114.0000
2001	526114.0000
2011	526114.0000
2021	526114.0000
2031	526114.0000
2041	526114.0000
2051	526114.0000
2061	526114.0000
2071	526114.0000
2081	526114.0000
2091	526114.0000
2101	526114.0000
2111	526114.0000
2121	526114.0000
2131	526114.0000
2141	526114.0000
2151	526114.0000
2161	526114.0000
2171	526114.0000
2181	526114.0000
2191	526114.0000
2201	526114.0000
2211	526114.0000
2221	526114.0000
2231	526114.0000
2241	526114.0000
2251	526114.0000
2261	526114.0000
2271	526114.0000
2281	526114.0000
2291	526114.0000
2301	526114.0000
2311	526114.0000
2321	526114.0000
2331	526114.0000
2341	526114.0000
2351	526114.0000
2361	526114.0000
2371	526114.0000
2381	526114.0000
2391	526114.0000
2401	526114.0000
2411	526114.0000
2421	526114.0000
2431	526114.0000
2441	526114.0000
2451	526114.0000
2461	526114.0000
2471	526114.0000
2481	526114.0000
2491	526114.0000
2501	526114.0000
2511	526114.0000
2521	526114.0000
2531	526114.0000
2541	526114.0000
2551	526114.0000
2561	526114.0000
2571	526114.0000
2581	526114.0000
2591	526114.0000
2601	526114.0000
2611	526114.0000
2621	526114.0000
2631	526114.0000
2641	526114.0000
2651	526114.0000
2661	526114.0000
2671	526114.0000
2681	526114.0000
2691	526114.0000
2701	526114.0000
2711	526114.0000
2721	526114.0000
2731	526114.0000
2741	526114.0000
2751	526114.0000
2761	526114.0000
2771	526114.0000
2781	526114.0000
2791	526114.0000
2801	526114.0000
2811	526114.0000
2821	526114.0000
2831	526114.0000
2841	526114.0000
2851	526114.0000
2861	526114.0000
2871	526114.0000
2881	526114.0000
2891	526114.0000
2901	526114.0000
2911	526114.0000
2921	526114.0000
2931	526114.0000
2941	526114.0000
2951	526114.0000
2961	526114.0000
2971	526114.0000
2981	526114.0000
2991	526114.0000
3001	526114.0000
3011	526114.0000
3021	526114.0000
3031	526114.0000
3041	526114.0000
3051	526114.0000
3061	526114.0000
3071	526114.0000
3081	526114.0000
3091	526114.0000
3101	526114.0000
3111	526114.0000
3121	526114.0000
3131	526114.0000
3141	526114.0000
3151	526114.0000
3161	526114.0000
3171	526114.0000
3181	526114.0000
3191	526114.0000
3201	526114.0000
3211	526114.0000
3221	526114.0000
3231	526114.0000
3241	526114.0000
