================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 7 次
实验时间: 2025-12-21 20:09:34

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 70200.73
初始种群平均解: Makespan = 101155.23

Gen    1 | 最优: 70200.73 | 平均: 94387.90 | 改进: 0.00 | 停滞: 1/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 64056.95 | 平均: 89479.99 | 改进: 6143.78 | 停滞: 3/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 64056.95 | 平均: 89827.80 | 改进: 0.00 | 停滞: 53/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 64056.95 | 平均: 88748.82 | 改进: 0.00 | 停滞: 103/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 63718.75 | 平均: 90296.62 | 改进: 338.20 | 停滞: 26/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 63718.75 | 平均: 89703.34 | 改进: 0.00 | 停滞: 76/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 63718.75 | 平均: 90926.46 | 改进: 0.00 | 停滞: 126/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 62699.64 | 平均: 88924.23 | 改进: 1019.12 | 停滞: 8/300000 | 耗时: 0.1分钟
Gen  400 | 最优: 62699.64 | 平均: 89519.15 | 改进: 0.00 | 停滞: 58/300000 | 耗时: 0.1分钟
Gen  450 | 最优: 62699.64 | 平均: 90338.92 | 改进: 0.00 | 停滞: 108/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 62699.64 | 平均: 90647.60 | 改进: 0.00 | 停滞: 158/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 62699.64 | 平均: 89580.84 | 改进: 0.00 | 停滞: 208/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 62699.64 | 平均: 90311.19 | 改进: 0.00 | 停滞: 258/300000 | 耗时: 0.2分钟
Gen  650 | 最优: 62699.64 | 平均: 89250.97 | 改进: 0.00 | 停滞: 308/300000 | 耗时: 0.2分钟
Gen  700 | 最优: 62699.64 | 平均: 89408.86 | 改进: 0.00 | 停滞: 358/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 62699.64 | 平均: 89488.06 | 改进: 0.00 | 停滞: 408/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 62699.64 | 平均: 89837.92 | 改进: 0.00 | 停滞: 458/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 62699.64 | 平均: 89729.39 | 改进: 0.00 | 停滞: 508/300000 | 耗时: 0.3分钟
Gen  900 | 最优: 62699.64 | 平均: 89086.91 | 改进: 0.00 | 停滞: 558/300000 | 耗时: 0.3分钟
Gen  950 | 最优: 62699.64 | 平均: 90018.86 | 改进: 0.00 | 停滞: 608/300000 | 耗时: 0.3分钟
Gen 1000 | 最优: 62699.64 | 平均: 88652.16 | 改进: 0.00 | 停滞: 658/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 62699.64 | 平均: 89255.11 | 改进: 0.00 | 停滞: 708/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 62699.64 | 平均: 88165.02 | 改进: 0.00 | 停滞: 758/300000 | 耗时: 0.4分钟
Gen 1150 | 最优: 62699.64 | 平均: 90598.14 | 改进: 0.00 | 停滞: 808/300000 | 耗时: 0.4分钟
Gen 1200 | 最优: 62699.64 | 平均: 88417.69 | 改进: 0.00 | 停滞: 858/300000 | 耗时: 0.4分钟
Gen 1250 | 最优: 62699.64 | 平均: 87861.96 | 改进: 0.00 | 停滞: 908/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 62699.64 | 平均: 90568.12 | 改进: 0.00 | 停滞: 958/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 62699.64 | 平均: 87753.29 | 改进: 0.00 | 停滞: 1008/300000 | 耗时: 0.5分钟
Gen 1400 | 最优: 62699.64 | 平均: 90434.36 | 改进: 0.00 | 停滞: 1058/300000 | 耗时: 0.5分钟
