Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.38102675,0.77833396,300.28
NSGAII,2,0.38712478,0.61035970,300.28
NSGAII,3,0.41756445,0.48558910,301.19
NSGAII,4,0.31335861,0.60196979,300.95
NSGAII,5,0.41532215,0.60454739,300.89
NSGAII,6,0.26761910,0.18551076,301.24
NSGAII,7,0.53976478,0.59094724,301.39
NSGAII,8,0.37009140,0.48312541,300.61
NSGAII,9,0.41187478,0.54054074,300.28
NSGAII,10,0.31012640,0.46497689,300.78
NSGAII-Basic,1,0.41618625,0.51992316,300.07
NSGAII-Basic,2,0.38816547,0.40401747,300.08
NSGAII-Basic,3,0.16419944,0.18742300,300.07
NSGAII-Basic,4,0.04950454,0.00000000,300.02
NSGAII-Basic,5,0.19204410,0.21137730,300.01
NSGAII-Basic,6,0.47928429,0.58189840,300.03
NSGAII-Basic,7,0.46683701,0.42221087,300.02
NSGAII-Basic,8,0.25233714,0.19692727,300.07
NSGAII-Basic,9,0.35406872,0.41229465,300.07
NSGAII-Basic,10,0.46512743,0.48928499,300.05
MOEAD,1,0.21465581,0.90952622,300.67
MOEAD,2,0.38892877,0.64788386,300.18
MOEAD,3,0.34528021,0.82264734,300.03
MOEAD,4,0.21771325,1.05681885,300.18
MOEAD,5,0.17306920,1.06810667,300.29
MOEAD,6,0.46830553,0.76328509,300.54
MOEAD,7,0.21558770,0.97924505,300.18
MOEAD,8,0.20531404,0.50325789,300.03
MOEAD,9,0.18842044,0.83349635,300.30
MOEAD,10,0.31748492,0.75789501,300.78
MOGWO,1,0.08496464,1.29020544,300.45
MOGWO,2,0.26089982,0.91129332,300.71
MOGWO,3,0.20626611,1.00475058,300.18
MOGWO,4,0.21167183,1.03971907,301.03
MOGWO,5,0.24092903,0.66757721,300.96
MOGWO,6,0.30294636,0.82688506,301.14
MOGWO,7,0.20509536,1.31788675,300.69
MOGWO,8,0.23445749,0.99116221,300.33
MOGWO,9,0.38156031,0.87533766,300.72
MOGWO,10,0.21129796,1.13950284,301.17
SPEA2,1,0.36885005,0.33752970,300.16
SPEA2,2,0.37209176,0.29278222,300.07
SPEA2,3,0.38450089,0.63617858,300.07
SPEA2,4,0.25344760,0.35870192,300.07
SPEA2,5,0.29513368,0.36199668,300.14
SPEA2,6,0.37773007,0.61198051,300.07
SPEA2,7,0.22502522,0.19233094,300.10
SPEA2,8,0.22596689,0.31074090,300.07
SPEA2,9,0.25113038,0.27519090,300.07
SPEA2,10,0.39584594,0.63867567,300.14
