================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 2 次
实验时间: 2025-12-21 20:06:32

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 66596.67
初始种群平均解: Makespan = 93530.99

Gen    1 | 最优: 66596.67 | 平均: 89386.66 | 改进: 0.00 | 停滞: 1/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 58729.18 | 平均: 82318.57 | 改进: 7867.49 | 停滞: 15/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 58729.18 | 平均: 83500.44 | 改进: 0.00 | 停滞: 65/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 58729.18 | 平均: 82322.27 | 改进: 0.00 | 停滞: 115/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 58729.18 | 平均: 82180.24 | 改进: 0.00 | 停滞: 165/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 58729.18 | 平均: 82008.07 | 改进: 0.00 | 停滞: 215/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 58456.65 | 平均: 82825.68 | 改进: 272.53 | 停滞: 8/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 58456.65 | 平均: 81356.75 | 改进: 0.00 | 停滞: 58/300000 | 耗时: 0.2分钟
Gen  400 | 最优: 58456.65 | 平均: 81376.23 | 改进: 0.00 | 停滞: 108/300000 | 耗时: 0.2分钟
Gen  450 | 最优: 57815.60 | 平均: 81844.43 | 改进: 641.05 | 停滞: 9/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 57815.60 | 平均: 81577.92 | 改进: 0.00 | 停滞: 59/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 57794.67 | 平均: 82646.14 | 改进: 20.94 | 停滞: 14/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 57794.67 | 平均: 81882.91 | 改进: 0.00 | 停滞: 64/300000 | 耗时: 0.3分钟
Gen  650 | 最优: 57794.67 | 平均: 82037.56 | 改进: 0.00 | 停滞: 114/300000 | 耗时: 0.3分钟
Gen  700 | 最优: 57794.67 | 平均: 81938.03 | 改进: 0.00 | 停滞: 164/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 57794.67 | 平均: 82544.27 | 改进: 0.00 | 停滞: 214/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 57794.67 | 平均: 82069.80 | 改进: 0.00 | 停滞: 264/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 57794.67 | 平均: 81407.88 | 改进: 0.00 | 停滞: 314/300000 | 耗时: 0.4分钟
Gen  900 | 最优: 57784.35 | 平均: 82752.73 | 改进: 10.32 | 停滞: 21/300000 | 耗时: 0.4分钟
Gen  950 | 最优: 57784.35 | 平均: 83027.66 | 改进: 0.00 | 停滞: 71/300000 | 耗时: 0.4分钟
Gen 1000 | 最优: 57784.35 | 平均: 84477.65 | 改进: 0.00 | 停滞: 121/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 57784.35 | 平均: 81354.48 | 改进: 0.00 | 停滞: 171/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 57784.35 | 平均: 82632.96 | 改进: 0.00 | 停滞: 221/300000 | 耗时: 0.5分钟
Gen 1150 | 最优: 57784.35 | 平均: 81122.78 | 改进: 0.00 | 停滞: 271/300000 | 耗时: 0.5分钟
Gen 1200 | 最优: 57784.35 | 平均: 81312.21 | 改进: 0.00 | 停滞: 321/300000 | 耗时: 0.5分钟
Gen 1250 | 最优: 57784.35 | 平均: 82019.08 | 改进: 0.00 | 停滞: 371/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 57784.35 | 平均: 82402.32 | 改进: 0.00 | 停滞: 421/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 57784.35 | 平均: 83049.76 | 改进: 0.00 | 停滞: 471/300000 | 耗时: 0.6分钟
Gen 1400 | 最优: 57784.35 | 平均: 83205.45 | 改进: 0.00 | 停滞: 521/300000 | 耗时: 0.6分钟
Gen 1450 | 最优: 57784.35 | 平均: 82238.77 | 改进: 0.00 | 停滞: 571/300000 | 耗时: 0.6分钟
Gen 1500 | 最优: 57784.35 | 平均: 82489.28 | 改进: 0.00 | 停滞: 621/300000 | 耗时: 0.6分钟
Gen 1550 | 最优: 57784.35 | 平均: 82814.07 | 改进: 0.00 | 停滞: 671/300000 | 耗时: 0.6分钟
Gen 1600 | 最优: 57784.35 | 平均: 83790.77 | 改进: 0.00 | 停滞: 721/300000 | 耗时: 0.7分钟
Gen 1650 | 最优: 57784.35 | 平均: 82188.56 | 改进: 0.00 | 停滞: 771/300000 | 耗时: 0.7分钟
Gen 1700 | 最优: 57784.35 | 平均: 83017.30 | 改进: 0.00 | 停滞: 821/300000 | 耗时: 0.7分钟
Gen 1750 | 最优: 57784.35 | 平均: 81880.75 | 改进: 0.00 | 停滞: 871/300000 | 耗时: 0.7分钟
Gen 1800 | 最优: 57784.35 | 平均: 82801.02 | 改进: 0.00 | 停滞: 921/300000 | 耗时: 0.7分钟
Gen 1850 | 最优: 57784.35 | 平均: 83035.87 | 改进: 0.00 | 停滞: 971/300000 | 耗时: 0.7分钟
Gen 1900 | 最优: 57784.35 | 平均: 82367.62 | 改进: 0.00 | 停滞: 1021/300000 | 耗时: 0.8分钟
Gen 1950 | 最优: 57784.35 | 平均: 82460.30 | 改进: 0.00 | 停滞: 1071/300000 | 耗时: 0.8分钟
Gen 2000 | 最优: 57784.35 | 平均: 82395.10 | 改进: 0.00 | 停滞: 1121/300000 | 耗时: 0.8分钟
Gen 2050 | 最优: 57784.35 | 平均: 82907.63 | 改进: 0.00 | 停滞: 1171/300000 | 耗时: 0.8分钟
Gen 2100 | 最优: 57784.35 | 平均: 81465.96 | 改进: 0.00 | 停滞: 1221/300000 | 耗时: 0.8分钟
Gen 2150 | 最优: 57784.35 | 平均: 82387.83 | 改进: 0.00 | 停滞: 1271/300000 | 耗时: 0.9分钟
Gen 2200 | 最优: 57784.35 | 平均: 83049.49 | 改进: 0.00 | 停滞: 1321/300000 | 耗时: 0.9分钟
Gen 2250 | 最优: 57784.35 | 平均: 82197.50 | 改进: 0.00 | 停滞: 1371/300000 | 耗时: 0.9分钟
Gen 2300 | 最优: 57784.35 | 平均: 85029.58 | 改进: 0.00 | 停滞: 1421/300000 | 耗时: 0.9分钟
Gen 2350 | 最优: 57784.35 | 平均: 82310.52 | 改进: 0.00 | 停滞: 1471/300000 | 耗时: 0.9分钟
Gen 2400 | 最优: 57784.35 | 平均: 81755.06 | 改进: 0.00 | 停滞: 1521/300000 | 耗时: 1.0分钟
Gen 2450 | 最优: 57784.35 | 平均: 82904.08 | 改进: 0.00 | 停滞: 1571/300000 | 耗时: 1.0分钟
Gen 2500 | 最优: 57784.35 | 平均: 82702.68 | 改进: 0.00 | 停滞: 1621/300000 | 耗时: 1.0分钟
Gen 2550 | 最优: 57784.35 | 平均: 81441.94 | 改进: 0.00 | 停滞: 1671/300000 | 耗时: 1.0分钟
Gen 2600 | 最优: 57784.35 | 平均: 82767.40 | 改进: 0.00 | 停滞: 1721/300000 | 耗时: 1.0分钟
Gen 2650 | 最优: 57784.35 | 平均: 83247.82 | 改进: 0.00 | 停滞: 1771/300000 | 耗时: 1.1分钟
Gen 2700 | 最优: 57784.35 | 平均: 82357.50 | 改进: 0.00 | 停滞: 1821/300000 | 耗时: 1.1分钟
Gen 2750 | 最优: 57784.35 | 平均: 82019.13 | 改进: 0.00 | 停滞: 1871/300000 | 耗时: 1.1分钟
Gen 2800 | 最优: 57784.35 | 平均: 83167.50 | 改进: 0.00 | 停滞: 1921/300000 | 耗时: 1.1分钟
Gen 2850 | 最优: 57784.35 | 平均: 83118.90 | 改进: 0.00 | 停滞: 1971/300000 | 耗时: 1.1分钟
Gen 2900 | 最优: 57784.35 | 平均: 82903.65 | 改进: 0.00 | 停滞: 2021/300000 | 耗时: 1.1分钟
Gen 2950 | 最优: 57400.39 | 平均: 82989.27 | 改进: 383.96 | 停滞: 4/300000 | 耗时: 1.2分钟
Gen 3000 | 最优: 57075.04 | 平均: 82149.60 | 改进: 325.35 | 停滞: 7/300000 | 耗时: 1.2分钟
Gen 3050 | 最优: 57075.04 | 平均: 82516.40 | 改进: 0.00 | 停滞: 57/300000 | 耗时: 1.2分钟
Gen 3100 | 最优: 57075.04 | 平均: 82053.27 | 改进: 0.00 | 停滞: 107/300000 | 耗时: 1.2分钟
Gen 3150 | 最优: 56864.55 | 平均: 81392.71 | 改进: 210.50 | 停滞: 16/300000 | 耗时: 1.2分钟
Gen 3200 | 最优: 56864.55 | 平均: 81059.60 | 改进: 0.00 | 停滞: 66/300000 | 耗时: 1.3分钟
Gen 3250 | 最优: 56864.55 | 平均: 83056.92 | 改进: 0.00 | 停滞: 116/300000 | 耗时: 1.3分钟
Gen 3300 | 最优: 56864.55 | 平均: 81674.75 | 改进: 0.00 | 停滞: 166/300000 | 耗时: 1.3分钟
Gen 3350 | 最优: 56864.55 | 平均: 81507.39 | 改进: 0.00 | 停滞: 216/300000 | 耗时: 1.3分钟
Gen 3400 | 最优: 56864.55 | 平均: 81956.24 | 改进: 0.00 | 停滞: 266/300000 | 耗时: 1.3分钟
Gen 3450 | 最优: 56864.55 | 平均: 83431.24 | 改进: 0.00 | 停滞: 316/300000 | 耗时: 1.3分钟
Gen 3500 | 最优: 56864.55 | 平均: 81498.63 | 改进: 0.00 | 停滞: 366/300000 | 耗时: 1.4分钟
Gen 3550 | 最优: 56864.55 | 平均: 82067.76 | 改进: 0.00 | 停滞: 416/300000 | 耗时: 1.4分钟
Gen 3600 | 最优: 56864.55 | 平均: 82403.83 | 改进: 0.00 | 停滞: 466/300000 | 耗时: 1.4分钟
Gen 3650 | 最优: 56864.55 | 平均: 83039.89 | 改进: 0.00 | 停滞: 516/300000 | 耗时: 1.4分钟
Gen 3700 | 最优: 56864.55 | 平均: 82344.93 | 改进: 0.00 | 停滞: 566/300000 | 耗时: 1.4分钟
Gen 3750 | 最优: 56864.55 | 平均: 83090.15 | 改进: 0.00 | 停滞: 616/300000 | 耗时: 1.5分钟
Gen 3800 | 最优: 56864.55 | 平均: 83308.01 | 改进: 0.00 | 停滞: 666/300000 | 耗时: 1.5分钟
Gen 3850 | 最优: 56864.55 | 平均: 84357.37 | 改进: 0.00 | 停滞: 716/300000 | 耗时: 1.5分钟
Gen 3900 | 最优: 56864.55 | 平均: 83439.86 | 改进: 0.00 | 停滞: 766/300000 | 耗时: 1.5分钟
Gen 3950 | 最优: 56864.55 | 平均: 82099.08 | 改进: 0.00 | 停滞: 816/300000 | 耗时: 1.5分钟
Gen 4000 | 最优: 56864.55 | 平均: 82424.71 | 改进: 0.00 | 停滞: 866/300000 | 耗时: 1.6分钟
Gen 4050 | 最优: 56864.55 | 平均: 81956.70 | 改进: 0.00 | 停滞: 916/300000 | 耗时: 1.6分钟
Gen 4100 | 最优: 56864.55 | 平均: 82749.44 | 改进: 0.00 | 停滞: 966/300000 | 耗时: 1.6分钟
Gen 4150 | 最优: 56864.55 | 平均: 83391.48 | 改进: 0.00 | 停滞: 1016/300000 | 耗时: 1.6分钟
Gen 4200 | 最优: 56864.55 | 平均: 82484.95 | 改进: 0.00 | 停滞: 1066/300000 | 耗时: 1.6分钟
Gen 4250 | 最优: 56864.55 | 平均: 81900.24 | 改进: 0.00 | 停滞: 1116/300000 | 耗时: 1.7分钟
Gen 4300 | 最优: 56864.55 | 平均: 81551.93 | 改进: 0.00 | 停滞: 1166/300000 | 耗时: 1.7分钟
Gen 4350 | 最优: 56864.55 | 平均: 83153.01 | 改进: 0.00 | 停滞: 1216/300000 | 耗时: 1.7分钟
Gen 4400 | 最优: 56864.55 | 平均: 81492.19 | 改进: 0.00 | 停滞: 1266/300000 | 耗时: 1.7分钟
Gen 4450 | 最优: 56864.55 | 平均: 81787.62 | 改进: 0.00 | 停滞: 1316/300000 | 耗时: 1.7分钟
Gen 4500 | 最优: 56864.55 | 平均: 82863.25 | 改进: 0.00 | 停滞: 1366/300000 | 耗时: 1.7分钟
Gen 4550 | 最优: 56864.55 | 平均: 82121.54 | 改进: 0.00 | 停滞: 1416/300000 | 耗时: 1.8分钟
