================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 7 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36509.68

开始迭代优化...

代数   10 | 最优 Makespan: 36238.67 | 改进: +0.74% | 停滞: 9
代数   20 | 最优 Makespan: 36238.67 | 改进: +0.00% | 停滞: 19
代数   30 | 最优 Makespan: 36238.67 | 改进: +0.00% | 停滞: 29
代数   40 | 最优 Makespan: 36238.67 | 改进: +0.00% | 停滞: 39
代数   50 | 最优 Makespan: 36238.67 | 改进: +0.00% | 停滞: 49
代数   60 | 最优 Makespan: 36238.67 | 改进: +0.00% | 停滞: 59
代数   70 | 最优 Makespan: 36106.68 | 改进: +0.36% | 停滞: 7
代数   80 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 17
代数   90 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 27
代数  100 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 37
代数  110 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 47
代数  120 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 57
代数  130 | 最优 Makespan: 36106.68 | 改进: +0.00% | 停滞: 67
代数  140 | 最优 Makespan: 35916.68 | 改进: +0.53% | 停滞: 6
代数  150 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 16
代数  160 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 26
代数  170 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 36
代数  180 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 46
代数  190 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 56
代数  200 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 66
代数  210 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 76
代数  220 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 86
代数  230 | 最优 Makespan: 35916.68 | 改进: +0.00% | 停滞: 96
代数  240 | 最优 Makespan: 35643.68 | 改进: +0.76% | 停滞: 2
代数  250 | 最优 Makespan: 35643.68 | 改进: +0.00% | 停滞: 12
代数  260 | 最优 Makespan: 35643.68 | 改进: +0.00% | 停滞: 22
代数  270 | 最优 Makespan: 35643.68 | 改进: +0.00% | 停滞: 32
代数  280 | 最优 Makespan: 35380.68 | 改进: +0.74% | 停滞: 0
代数  290 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 10
代数  300 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 20
代数  310 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 30
代数  320 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 40
代数  330 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 50
代数  340 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 60
代数  350 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 70
代数  360 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 80
代数  370 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 90
代数  380 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 100
代数  390 | 最优 Makespan: 35380.68 | 改进: +0.00% | 停滞: 110
代数  400 | 最优 Makespan: 35206.68 | 改进: +0.49% | 停滞: 4
代数  410 | 最优 Makespan: 35206.68 | 改进: +0.00% | 停滞: 14
