================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验23 - T23_pop150_pc0.8_pm0.1_N30_TS100_L10
算例名称: 2M80J
运行ID: 6
实验时间: 2026-02-14 07:56:06

【参数配置】
  最大代数: 1000000
  种群规模: 150
  变异率: 0.1
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 505975.5000
运行时间: 300095 ms (300.10 秒)
终止代数: 2822

【收敛曲线数据】
代数	Cmax
1	535572.0000
11	528724.5000
21	516549.0000
31	516549.0000
41	516549.0000
51	516549.0000
61	511357.0000
71	511357.0000
81	511357.0000
91	511357.0000
101	511357.0000
111	511357.0000
121	511357.0000
131	511357.0000
141	511357.0000
151	511357.0000
161	511357.0000
171	511357.0000
181	511357.0000
191	511357.0000
201	511357.0000
211	511357.0000
221	511357.0000
231	511357.0000
241	511357.0000
251	511357.0000
261	511357.0000
271	511357.0000
281	511357.0000
291	511357.0000
301	511357.0000
311	511357.0000
321	510885.0000
331	510885.0000
341	510885.0000
351	510885.0000
361	510885.0000
371	510885.0000
381	510885.0000
391	510885.0000
401	510885.0000
411	510885.0000
421	510885.0000
431	510885.0000
441	510885.0000
451	510885.0000
461	508053.0000
471	505975.5000
481	505975.5000
491	505975.5000
501	505975.5000
511	505975.5000
521	505975.5000
531	505975.5000
541	505975.5000
551	505975.5000
561	505975.5000
571	505975.5000
581	505975.5000
591	505975.5000
601	505975.5000
611	505975.5000
621	505975.5000
631	505975.5000
641	505975.5000
651	505975.5000
661	505975.5000
671	505975.5000
681	505975.5000
691	505975.5000
701	505975.5000
711	505975.5000
721	505975.5000
731	505975.5000
741	505975.5000
751	505975.5000
761	505975.5000
771	505975.5000
781	505975.5000
791	505975.5000
801	505975.5000
811	505975.5000
821	505975.5000
831	505975.5000
841	505975.5000
851	505975.5000
861	505975.5000
871	505975.5000
881	505975.5000
891	505975.5000
901	505975.5000
911	505975.5000
921	505975.5000
931	505975.5000
941	505975.5000
951	505975.5000
961	505975.5000
971	505975.5000
981	505975.5000
991	505975.5000
1001	505975.5000
1011	505975.5000
1021	505975.5000
1031	505975.5000
1041	505975.5000
1051	505975.5000
1061	505975.5000
1071	505975.5000
1081	505975.5000
1091	505975.5000
1101	505975.5000
1111	505975.5000
1121	505975.5000
1131	505975.5000
1141	505975.5000
1151	505975.5000
1161	505975.5000
1171	505975.5000
1181	505975.5000
1191	505975.5000
1201	505975.5000
1211	505975.5000
1221	505975.5000
1231	505975.5000
1241	505975.5000
1251	505975.5000
1261	505975.5000
1271	505975.5000
1281	505975.5000
1291	505975.5000
1301	505975.5000
1311	505975.5000
1321	505975.5000
1331	505975.5000
1341	505975.5000
1351	505975.5000
1361	505975.5000
1371	505975.5000
1381	505975.5000
1391	505975.5000
1401	505975.5000
1411	505975.5000
1421	505975.5000
1431	505975.5000
1441	505975.5000
1451	505975.5000
1461	505975.5000
1471	505975.5000
1481	505975.5000
1491	505975.5000
1501	505975.5000
1511	505975.5000
1521	505975.5000
1531	505975.5000
1541	505975.5000
1551	505975.5000
1561	505975.5000
1571	505975.5000
1581	505975.5000
1591	505975.5000
1601	505975.5000
1611	505975.5000
1621	505975.5000
1631	505975.5000
1641	505975.5000
1651	505975.5000
1661	505975.5000
1671	505975.5000
1681	505975.5000
1691	505975.5000
1701	505975.5000
1711	505975.5000
1721	505975.5000
1731	505975.5000
1741	505975.5000
1751	505975.5000
1761	505975.5000
1771	505975.5000
1781	505975.5000
1791	505975.5000
1801	505975.5000
1811	505975.5000
1821	505975.5000
1831	505975.5000
1841	505975.5000
1851	505975.5000
1861	505975.5000
1871	505975.5000
1881	505975.5000
1891	505975.5000
1901	505975.5000
1911	505975.5000
1921	505975.5000
1931	505975.5000
1941	505975.5000
1951	505975.5000
1961	505975.5000
1971	505975.5000
1981	505975.5000
1991	505975.5000
2001	505975.5000
2011	505975.5000
2021	505975.5000
2031	505975.5000
2041	505975.5000
2051	505975.5000
2061	505975.5000
2071	505975.5000
2081	505975.5000
2091	505975.5000
2101	505975.5000
2111	505975.5000
2121	505975.5000
2131	505975.5000
2141	505975.5000
2151	505975.5000
2161	505975.5000
2171	505975.5000
2181	505975.5000
2191	505975.5000
2201	505975.5000
2211	505975.5000
2221	505975.5000
2231	505975.5000
2241	505975.5000
2251	505975.5000
2261	505975.5000
2271	505975.5000
2281	505975.5000
2291	505975.5000
2301	505975.5000
2311	505975.5000
2321	505975.5000
2331	505975.5000
2341	505975.5000
2351	505975.5000
2361	505975.5000
2371	505975.5000
2381	505975.5000
2391	505975.5000
2401	505975.5000
2411	505975.5000
2421	505975.5000
2431	505975.5000
2441	505975.5000
2451	505975.5000
2461	505975.5000
2471	505975.5000
2481	505975.5000
2491	505975.5000
2501	505975.5000
2511	505975.5000
2521	505975.5000
2531	505975.5000
2541	505975.5000
2551	505975.5000
2561	505975.5000
2571	505975.5000
2581	505975.5000
2591	505975.5000
2601	505975.5000
2611	505975.5000
2621	505975.5000
2631	505975.5000
2641	505975.5000
2651	505975.5000
2661	505975.5000
2671	505975.5000
2681	505975.5000
2691	505975.5000
2701	505975.5000
2711	505975.5000
2721	505975.5000
2731	505975.5000
2741	505975.5000
2751	505975.5000
2761	505975.5000
2771	505975.5000
2781	505975.5000
2791	505975.5000
2801	505975.5000
2811	505975.5000
2821	505975.5000
2822	505975.5000

✓ 收敛曲线图已生成: 收敛曲线图.png

【机器负载统计】
  机器 1: 批次数=9, 完工时间=505947.4144
  机器 2: 批次数=7, 完工时间=505988.8924


================================================================================
                         实验结果输出完成
================================================================================
