Algorithm,Run,HV,IGD,RunTime
NSGAII,1,1.01391567,0.11700633,300.01
NSGAII,2,1.01382847,0.11830621,300.00
NSGAII,3,1.01385269,0.11750286,300.01
NSGAII,4,1.01391026,0.11780968,300.01
NSGAII,5,1.01391026,0.11780968,300.02
NSGAII,6,1.01391026,0.11780968,300.01
NSGAII,7,1.01391567,0.11700633,300.01
NSGAII,8,1.01391026,0.11780968,300.00
NSGAII,9,1.01391026,0.11780968,300.00
NSGAII,10,1.01391026,0.11780968,300.02
NSGAII-Basic,1,0.28835824,0.61557859,300.00
NSGAII-Basic,2,0.28835824,0.61557859,300.05
NSGAII-Basic,3,0.28835824,0.61557859,300.00
NSGAII-Basic,4,0.28835824,0.61557859,300.00
NSGAII-Basic,5,0.28835824,0.61557859,300.05
NSGAII-Basic,6,0.28835824,0.61557859,300.05
NSGAII-Basic,7,0.28835824,0.61557859,300.05
NSGAII-Basic,8,0.28835824,0.61557859,300.05
NSGAII-Basic,9,0.28835824,0.61557859,300.05
NSGAII-Basic,10,0.28835824,0.61557859,300.05
MOEAD,1,0.28608497,0.61557859,300.02
MOEAD,2,0.26185806,0.63868878,300.02
MOEAD,3,0.28426252,0.61739727,300.02
MOEAD,4,0.26182356,0.62150401,300.03
MOEAD,5,0.28608497,0.61557859,300.02
MOEAD,6,0.28608497,0.61557859,300.02
MOEAD,7,0.28488617,0.61677477,300.03
MOEAD,8,0.26745369,0.63210386,300.01
MOEAD,9,0.26465155,0.63506360,300.01
MOEAD,10,0.28508713,0.61657421,300.00
MOGWO,1,1.00549001,0.12858805,300.13
MOGWO,2,1.00444811,0.11021649,300.11
MOGWO,3,0.99163523,0.14586786,300.11
MOGWO,4,1.00575970,0.11754848,300.02
MOGWO,5,0.98953875,0.13812976,300.10
MOGWO,6,0.99638464,0.03804868,300.15
MOGWO,7,0.99927039,0.11247661,300.14
MOGWO,8,0.98058680,0.12704723,300.12
MOGWO,9,1.00098140,0.11148073,300.15
MOGWO,10,1.00682992,0.01689997,300.08
SPEA2,1,0.28710798,0.61557859,300.02
SPEA2,2,0.28835824,0.61557859,300.04
SPEA2,3,0.28674501,0.61557859,300.00
SPEA2,4,0.28835824,0.61557859,300.05
SPEA2,5,0.28835824,0.61557859,300.06
SPEA2,6,0.28608497,0.61557859,300.06
SPEA2,7,0.28835824,0.61557859,300.06
SPEA2,8,0.28835824,0.61557859,300.05
SPEA2,9,0.28835824,0.61557859,300.06
SPEA2,10,0.28834665,0.61557859,300.06
