================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验27 - T27_pop150_pc0.9_pm0.2_N10_TS150_L20
算例名称: 2M80J
运行ID: 9
实验时间: 2026-02-14 09:06:09

【参数配置】
  最大代数: 1000000
  种群规模: 150
  变异率: 0.15
  交叉率: 0.9

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 509710.5000
运行时间: 300054 ms (300.05 秒)
终止代数: 6114

【收敛曲线数据】
代数	Cmax
1	543975.7500
11	522102.0000
21	512511.7500
31	512511.7500
41	512511.7500
51	512511.7500
61	512511.7500
71	512511.7500
81	512511.7500
91	512511.7500
101	512511.7500
111	512511.7500
121	512511.7500
131	512511.7500
141	512511.7500
151	512511.7500
161	512511.7500
171	512511.7500
181	512511.7500
191	512511.7500
201	512511.7500
211	512511.7500
221	512511.7500
231	512511.7500
241	512511.7500
251	512511.7500
261	512511.7500
271	512511.7500
281	512511.7500
291	512511.7500
301	512511.7500
311	512511.7500
321	512511.7500
331	512511.7500
341	512511.7500
351	512511.7500
361	512511.7500
371	512511.7500
381	512511.7500
391	512511.7500
401	512511.7500
411	512511.7500
421	512511.7500
431	512511.7500
441	512511.7500
451	512511.7500
461	512511.7500
471	512511.7500
481	512511.7500
491	512511.7500
501	512511.7500
511	512511.7500
521	512511.7500
531	512511.7500
541	512511.7500
551	512511.7500
561	512511.7500
571	512511.7500
581	512511.7500
591	512511.7500
601	512511.7500
611	512511.7500
621	512511.7500
631	512511.7500
641	510333.0000
651	510333.0000
661	510333.0000
671	510333.0000
681	510333.0000
691	510333.0000
701	510333.0000
711	510333.0000
721	510333.0000
731	510333.0000
741	510333.0000
751	510333.0000
761	510333.0000
771	510333.0000
781	510333.0000
791	510333.0000
801	510333.0000
811	510333.0000
821	510333.0000
831	510333.0000
841	510333.0000
851	510333.0000
861	510333.0000
871	510333.0000
881	510333.0000
891	510333.0000
901	510333.0000
911	510333.0000
921	510333.0000
931	510333.0000
941	510333.0000
951	510333.0000
961	510333.0000
971	510333.0000
981	510333.0000
991	510333.0000
1001	510333.0000
1011	510333.0000
1021	510333.0000
1031	510333.0000
1041	510333.0000
1051	510333.0000
1061	510333.0000
1071	510333.0000
1081	510333.0000
1091	510333.0000
1101	510333.0000
1111	510333.0000
1121	510333.0000
1131	510333.0000
1141	510333.0000
1151	510333.0000
1161	510333.0000
1171	510333.0000
1181	510333.0000
1191	510333.0000
1201	510333.0000
1211	510333.0000
1221	510333.0000
1231	510333.0000
1241	510333.0000
1251	510333.0000
1261	510333.0000
1271	510333.0000
1281	510333.0000
1291	510333.0000
1301	510333.0000
1311	510333.0000
1321	510333.0000
1331	510333.0000
1341	510333.0000
1351	510333.0000
1361	510333.0000
1371	510333.0000
