Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.39726266,0.64357137,600.67
NSGAII,2,0.29083920,0.35455642,600.36
NSGAII,3,0.33962495,0.46287073,600.27
NSGAII,4,0.26583057,0.47218588,600.89
NSGAII,5,0.28405412,0.52656192,600.45
NSGAII,6,0.20840252,0.41274358,600.66
NSGAII,7,0.12021957,0.09640209,600.45
NSGAII,8,0.22791088,0.17427920,600.81
NSGAII,9,0.23092143,0.41807980,600.08
NSGAII,10,0.24031403,0.35833845,600.46
NSGAII-Basic,1,0.12720813,0.07577039,300.03
NSGAII-Basic,2,0.20305878,0.16813305,300.01
NSGAII-Basic,3,0.09443047,0.07098949,300.01
NSGAII-Basic,4,0.23113618,0.13477732,300.03
NSGAII-Basic,5,0.24608552,0.36342578,300.06
NSGAII-Basic,6,0.08797750,0.04943927,300.02
NSGAII-Basic,7,0.26703452,0.17889908,300.04
NSGAII-Basic,8,0.19806879,0.18762307,300.06
NSGAII-Basic,9,0.27071985,0.32348400,300.01
NSGAII-Basic,10,0.27058737,0.38151152,300.05
MOEAD,1,0.15337164,0.87511874,300.06
MOEAD,2,0.28789696,0.85265392,300.09
MOEAD,3,0.24910226,0.61968525,300.05
MOEAD,4,0.15783028,0.78671754,300.06
MOEAD,5,0.35082774,0.60683293,300.08
MOEAD,6,0.18304095,0.70213988,300.08
MOEAD,7,0.13945341,0.42995006,300.06
MOEAD,8,0.17031420,0.75066208,300.09
MOEAD,9,0.18773794,0.65024548,300.10
MOEAD,10,0.19827777,0.65574748,300.06
MOGWO,1,0.48073353,0.68412712,300.07
MOGWO,2,0.25618425,0.78622174,300.03
MOGWO,3,0.20400619,1.07460323,300.05
MOGWO,4,0.33106309,0.88650437,300.03
MOGWO,5,0.37077213,0.85183800,300.04
MOGWO,6,0.32829475,0.87666349,300.04
MOGWO,7,0.33293930,0.76248341,300.08
MOGWO,8,0.15639801,0.78972029,300.05
MOGWO,9,0.24092109,0.86143486,300.05
MOGWO,10,0.33745506,0.80587724,300.03
SPEA2,1,0.26869199,0.54733450,300.06
SPEA2,2,0.24493051,0.38874412,300.10
SPEA2,3,0.25068767,0.48473033,300.08
SPEA2,4,0.30749363,0.42817339,300.06
SPEA2,5,0.06853081,0.13069400,300.07
SPEA2,6,0.25548408,0.40105308,300.14
SPEA2,7,0.22163535,0.34150243,300.06
SPEA2,8,0.30085999,0.45351730,300.06
SPEA2,9,0.20658299,0.29808746,300.07
SPEA2,10,0.21584896,0.34029228,300.03
