Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,88111.5000,0.5709,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,2,66913.0000,0.8563,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,3,88111.5000,0.5709,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,4,84687.7500,0.8563,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,5,88111.5000,0.8563,300006,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,6,88111.5000,0.5709,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,7,88111.5000,0.5709,300012,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,8,88111.5000,0.5709,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,9,84687.7500,0.8563,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-TS,10,88111.5000,0.8563,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,1,84687.7500,0.8563,307253,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,2,66913.0000,0.8563,308447,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,3,66913.0000,0.8563,321238,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,4,84687.7500,0.8563,306340,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,5,66913.0000,0.8563,317791,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,6,84687.7500,0.8563,313856,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,7,84687.7500,0.8563,311157,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,8,66913.0000,0.8563,309351,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,9,66913.0000,0.8563,306659,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-GA,10,66913.0000,0.8563,304303,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,1,85310.2500,0.8563,309687,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,2,66913.0000,0.8563,337113,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,3,84687.7500,0.8563,321190,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,4,66913.0000,0.8563,322851,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,5,84687.7500,0.8563,321352,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,6,84687.7500,0.8563,322404,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,7,85310.2500,0.8563,319642,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,8,66913.0000,0.8563,325866,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,9,85310.2500,0.8563,314414,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
GA-ACO,10,66913.0000,0.8563,319626,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
ALNS,1,66913.0000,0.0000,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
ALNS,2,66913.0000,0.0000,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
ALNS,3,66913.0000,0.0000,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_10/printItem_10_03
