Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,88111.5000,0.5709,300002
GA-TS,66913.0000,0.8563,300003
GA-TS,88111.5000,0.5709,300002
GA-TS,84687.7500,0.8563,300002
GA-TS,88111.5000,0.8563,300006
GA-TS,88111.5000,0.5709,300003
GA-TS,88111.5000,0.5709,300012
GA-TS,88111.5000,0.5709,300000
GA-TS,84687.7500,0.8563,300002
GA-TS,88111.5000,0.8563,300001
GA-GA,84687.7500,0.8563,307253
GA-GA,66913.0000,0.8563,308447
GA-GA,66913.0000,0.8563,321238
GA-GA,84687.7500,0.8563,306340
GA-GA,66913.0000,0.8563,317791
GA-GA,84687.7500,0.8563,313856
GA-GA,84687.7500,0.8563,311157
GA-GA,66913.0000,0.8563,309351
GA-GA,66913.0000,0.8563,306659
GA-GA,66913.0000,0.8563,304303
GA-ACO,85310.2500,0.8563,309687
GA-ACO,66913.0000,0.8563,337113
GA-ACO,84687.7500,0.8563,321190
GA-ACO,66913.0000,0.8563,322851
GA-ACO,84687.7500,0.8563,321352
GA-ACO,84687.7500,0.8563,322404
GA-ACO,85310.2500,0.8563,319642
GA-ACO,66913.0000,0.8563,325866
GA-ACO,85310.2500,0.8563,314414
GA-ACO,66913.0000,0.8563,319626
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300001
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300000
ALNS,66913.0000,0.0000,300001
ALNS,66913.0000,0.0000,300000
