Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,85306.9000,66913.0000,88111.5000,6278.2380,0.7136,300003.30
GA-GA,74022.9000,66913.0000,84687.7500,8707.8136,0.8563,310639.50
GA-ACO,77764.6000,66913.0000,85310.2500,8863.5738,0.8563,321414.50
ALNS,66913.0000,66913.0000,66913.0000,0.0000,0.0000,300000.20
