Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.73337656,0.17595896,300.00
NSGAII,2,0.95734415,0.07873037,300.08
NSGAII,3,0.75810108,0.17282734,300.09
NSGAII,4,1.08220299,0.01426003,300.01
NSGAII,5,0.94996106,0.08705680,300.00
NSGAII,6,0.91474062,0.09272614,300.04
NSGAII,7,1.06870725,0.05607013,300.00
NSGAII,8,0.76427553,0.15078041,300.02
NSGAII,9,1.03851240,0.05846871,300.08
NSGAII,10,0.79287417,0.14883952,300.00
NSGAII-Basic,1,0.62062988,0.37091568,300.01
NSGAII-Basic,2,0.66622947,0.33825995,300.01
NSGAII-Basic,3,0.65984005,0.32971453,300.01
NSGAII-Basic,4,0.61483331,0.36060270,300.01
NSGAII-Basic,5,0.65133864,0.34568193,300.01
NSGAII-Basic,6,0.64234971,0.35133127,300.01
NSGAII-Basic,7,0.51049162,0.44234013,300.01
NSGAII-Basic,8,0.51448076,0.43215860,300.00
NSGAII-Basic,9,0.64009849,0.35261435,300.00
NSGAII-Basic,10,0.35845823,0.58328744,300.01
MOEAD,1,0.48791046,0.44915827,300.14
MOEAD,2,0.04918023,0.97203738,300.15
MOEAD,3,0.21869332,0.70417207,300.06
MOEAD,4,0.21569247,0.70670217,300.03
MOEAD,5,0.13695726,0.83234954,300.07
MOEAD,6,0.36501354,0.56641400,300.01
MOEAD,7,0.45114300,0.48187713,300.03
MOEAD,8,0.29472377,0.63329426,300.16
MOEAD,9,0.17741271,0.77780749,300.05
MOEAD,10,0.43234069,0.50865150,300.11
MOGWO,1,0.47854343,0.36387645,300.10
MOGWO,2,0.42527264,0.41693670,300.25
MOGWO,3,0.52786691,0.33891665,300.18
MOGWO,4,0.07801483,0.87194472,300.04
MOGWO,5,0.26045107,0.59678330,300.16
MOGWO,6,0.40371791,0.44246681,300.03
MOGWO,7,0.39242495,0.51817423,300.25
MOGWO,8,0.37725356,0.46913379,300.28
MOGWO,9,0.43772722,0.42571221,300.01
MOGWO,10,0.43203467,0.42974761,300.25
SPEA2,1,0.39434008,0.49806295,300.08
SPEA2,2,0.25378793,0.67600909,300.06
SPEA2,3,0.43031570,0.47865505,300.05
SPEA2,4,0.29707482,0.62604111,300.06
SPEA2,5,0.44050926,0.49197806,300.04
SPEA2,6,0.55577206,0.39919978,300.04
SPEA2,7,0.47419445,0.46147981,300.08
SPEA2,8,0.62381870,0.36325369,300.02
SPEA2,9,0.28940424,0.64289072,300.06
SPEA2,10,0.59453290,0.39011841,300.05
