TrialConfig,Cmax,AvgUtilization,TimeMs
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,511266.7500,0.8378,300027
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,541146.7500,0.8378,300039
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,522213.0000,0.8378,300057
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,523405.5000,0.8378,300067
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,517803.0000,0.8378,300021
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,537411.7500,0.8378,300031
T08_pop50_pc0.9_pm0.2_N30_TS100_L20,508465.5000,0.8378,300030
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,535855.5000,0.8378,300111
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,525612.0000,0.7885,300078
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,522160.5000,0.8378,300013
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,525753.0000,0.8378,300050
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,507220.5000,0.8378,300056
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,525584.2500,0.8378,300050
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,510649.0000,0.8378,300009
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,486341.0000,0.8378,300022
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,531778.0000,0.7885,300034
T09_pop50_pc0.9_pm0.2_N30_TS150_L30,499085.0000,0.8378,300039
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,509469.0000,0.8378,300043
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,522499.5000,0.7885,300028
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,535554.0000,0.7885,300053
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,533365.5000,0.8378,300087
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,496949.2500,0.8378,300055
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,508525.0000,0.8378,300030
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,522213.0000,0.8378,300076
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,517965.0000,0.8378,300042
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,505221.0000,0.8378,300097
T10_pop100_pc0.7_pm0.2_N30_TS50_L20,521977.0000,0.8378,300041
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,514379.2500,0.8378,300054
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,512200.5000,0.8378,300029
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,505457.0000,0.8378,300018
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,495704.2500,0.8378,300088
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,505221.0000,0.8378,300081
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,502551.7500,0.8378,300036
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,490413.0000,0.8378,300042
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,497905.0000,0.8378,300021
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,514425.0000,0.8378,300113
T11_pop100_pc0.7_pm0.2_N30_TS100_L30,510021.7500,0.8378,300046
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,528074.2500,0.8378,300045
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,513445.5000,0.8378,300067
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,529941.7500,0.8378,300022
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,487611.7500,0.8378,300098
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,494459.2500,0.8378,300059
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,510644.2500,0.7885,300029
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,498377.0000,0.8378,300095
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,520561.0000,0.8378,300025
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,522685.0000,0.8378,300077
T12_pop100_pc0.7_pm0.2_N30_TS150_L10,538622.0000,0.7885,300026
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,504749.0000,0.8378,300028
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,493525.5000,0.8378,300040
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,515841.0000,0.8378,300012
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,510177.0000,0.8378,300044
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,514425.0000,0.8378,300012
T13_pop100_pc0.8_pm0.2_N10_TS50_L20,515313.0000,0.8378,300020
