Algorithm,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs
GA-TS,226908.7094,222817.4000,231754.8000,2565.7838,0.7666,300044.70
GA-GA,292202.8600,262363.7000,316453.5000,18598.9122,0.7906,471180.70
GA-ACO,340171.9400,304590.4000,361630.4000,17011.9543,0.7369,778366.70
ALNS,171499.0600,168313.6000,174599.8000,1951.2199,0.0000,300374.50
