Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,229351.8000,0.7885,300038
GA-TS,224897.4000,0.7885,300074
GA-TS,226119.0000,0.7885,300034
GA-TS,222817.4000,0.7885,300062
GA-TS,229178.8000,0.7447,300061
GA-TS,226567.8000,0.7447,300031
GA-TS,231754.8000,0.7447,300032
GA-TS,224867.2941,0.7885,300039
GA-TS,225109.0000,0.7447,300033
GA-TS,228423.8000,0.7447,300043
GA-GA,281608.5000,0.7885,458974
GA-GA,314938.5000,0.8378,411090
GA-GA,304590.4000,0.7885,399469
GA-GA,300875.7000,0.8378,362369
GA-GA,262363.7000,0.7447,469097
GA-GA,267082.8000,0.7885,395942
GA-GA,308373.5000,0.7885,648781
GA-GA,316453.5000,0.8378,480821
GA-GA,277568.5000,0.7055,674146
GA-GA,288173.5000,0.7885,411118
GA-ACO,304590.4000,0.7447,533525
GA-ACO,346248.5000,0.7447,1091038
GA-ACO,337531.7000,0.7447,609428
GA-ACO,330571.7000,0.7447,797986
GA-ACO,352308.5000,0.7447,649546
GA-ACO,358873.5000,0.7447,762944
GA-ACO,361630.4000,0.7447,540939
GA-ACO,349278.5000,0.7055,1021375
GA-ACO,318978.5000,0.7055,693418
GA-ACO,341707.7000,0.7447,1083468
ALNS,174104.0000,0.0000,300509
ALNS,170145.4000,0.0000,300510
ALNS,171048.4000,0.0000,300022
ALNS,168313.6000,0.0000,300612
ALNS,174599.8000,0.0000,300677
ALNS,171288.9000,0.0000,300031
ALNS,172185.6000,0.0000,300502
ALNS,169054.0000,0.0000,300256
ALNS,171074.0000,0.0000,300485
ALNS,173176.9000,0.0000,300141
